"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1580,1661,132,1672,1845,132,1970,2085,134
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,2012,2181,122,2300,2554,125,2522,2741,128
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",342,138,180,500,191,172,697,310,162,785,376,178
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1446,1018,167,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1233,1867,165,2273,2019,163,1998,1800,161
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",796,411,166,986,600,166,1107,802,168,1213,773,168
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,2236,3067,138,2734,3734,142,2795,3890,139
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,714,456,166,887,609,157,1041,787,170
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1886,2200,158,2189,2615,157,2396,2930,159
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1977,2191,138,1964,2207,136,2230,2402,138
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1947,2002,127,2005,2094,126,2125,2156,123
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1874,1609,162,2020,1859,155,1918,1639,154
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",798,428,182,956,571,176,1071,639,163,1217,700,167
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1763,2643,152,1727,1845,154,2051,2421,151
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",1954,2304,117,2215,2677,127,2643,2922,130,2357,2883,126
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,1983,2028,131,2180,2231,138,2168,2231,139
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 50 to 59 years","Females",NA,NA,NA,659,379,166,546,496,150,853,598,161
