"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,3234,3400,129,3589,3961,142,4017,4250,151
"Belgium",3430,3434,158,3289,3565,151,3949,4384,147,4718,5128,155
"Bulgaria",575,233,183,907,346,173,1144,508,162,1317,630,177
"Croatia",NA,NA,NA,NA,NA,NA,2615,1842,167,NA,NA,NA
"Cyprus",NA,NA,NA,2598,3932,163,3209,2850,155,3244,2922,170
"Czech Rep.",1191,616,167,1634,994,169,1911,1383,169,2194,1398,167
"Denmark",3278,4222,156,3477,4769,146,3419,4669,137,3654,5085,136
"Estonia",902,472,174,1265,808,167,1570,1079,160,1711,1294,172
"Finland",2618,3106,158,2954,3445,159,3292,3933,159,3626,4435,160
"France",3535,3547,139,3378,3744,159,3697,4155,154,4108,4424,151
"Germany",3017,3121,147,3482,3580,147,3552,3711,146,4181,4243,148
"Greece",2592,2163,167,2783,2389,156,3991,3673,172,3162,2701,167
"Hungary",1764,946,182,2103,1256,180,2298,1372,164,2734,1573,167
"Iceland",NA,NA,NA,2694,4039,174,2737,2923,169,3485,4113,163
"Ireland",3045,3590,123,3226,3900,149,4378,4841,151,3687,4508,145
"Italy",NA,NA,NA,3223,3297,170,3722,3809,160,3660,3767,168
"Latvia",751,379,172,952,547,162,853,775,152,1566,1098,163
"Lithuania",777,382,169,908,491,158,923,546,151,1260,790,171
"Luxembourg",4276,4376,NA,NA,NA,152,NA,NA,146,4522,5445,165
"Macedonia",NA,NA,NA,NA,NA,NA,2066,800,168,1370,637,182
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,2686,2172,163
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2344,1300,179
"Netherlands",1664,1698,87,2296,2447,115,3104,3458,129,2932,3220,127
"Norway",2903,4241,158,3504,4645,156,3640,5376,154,4135,6056,154
"Poland",1546,914,171,1668,969,167,1727,1032,159,2126,1187,177
"Portugal",NA,NA,NA,NA,NA,NA,3534,2930,154,3399,2768,157
"Romania",986,406,182,1358,678,172,1689,837,162,1606,854,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1771,893,183
"Slovakia",1150,500,173,1274,868,165,1778,1190,157,1871,1268,171
"Slovenia",3521,2418,183,3721,2778,176,3345,2814,165,3450,2817,178
"Spain",2779,2368,177,2736,2471,159,3158,2971,163,3433,3169,163
"Sweden",2568,3213,163,3069,3698,165,3121,3860,164,3844,4826,165
"Switzerland",NA,NA,NA,NA,NA,NA,4773,6845,149,4050,6029,138
"Turkey",NA,NA,NA,2104,1210,197,3045,1881,186,3078,1841,190
"United Kingdom",3141,3607,135,3095,3493,136,3295,3482,140,3053,3709,142
