"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,512,227,168,1573,753,184
"Croatia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",566,293,NA,694,422,183,787,570,176,1218,776,177
"Denmark","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,2009,2755,153,2320,3169,143,2050,2852,124
"Estonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1700,2031,163,1790,2189,165
"France","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,1188,1221,133,1206,1260,129,1210,1228,125
"Greece","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",504,270,187,NA,NA,180,606,362,153,895,515,179
"Iceland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,554,319,172,588,534,161,NA,NA,NA
"Lithuania","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,678,755,66,NA,NA,NA
"Norway","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2216,3273,150,2528,3702,153
"Poland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,199,NA,NA,NA,NA,NA,168,854,477,181
"Portugal","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,184,NA,NA,NA,574,305,186
"Serbia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,584,391,160,NA,NA,NA
"Slovenia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweden","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
