"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1337,1334,145,1173,1233,130,1145,1264,128,1575,1666,144
"Belgium","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,1346,1459,130,1836,2038,136,2200,2391,146
"Bulgaria","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",306,124,180,394,150,173,642,285,168,706,338,180
"Croatia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1455,1025,170,NA,NA,NA
"Cyprus","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1369,1216,182,1258,1133,173
"Czech Rep.","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",753,389,174,868,528,171,855,619,169,958,611,171
"Denmark","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1881,2423,142,1746,2394,126,2346,3204,139,2193,3051,132
"Estonia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",539,282,185,731,467,174,911,626,165,1093,827,181
"Finland","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1433,1700,158,1648,1922,158,1944,2322,161,1999,2445,163
"France","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1604,1609,129,1521,1686,143,1407,1581,128,1497,1612,125
"Germany","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1067,1104,109,1271,1307,112,1421,1484,129,1440,1461,124
"Greece","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1072,895,166,NA,NA,NA,1972,1815,170,1254,1072,163
"Hungary","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",582,312,177,645,385,180,778,465,163,832,478,166
"Iceland","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1786,2108,176
"Ireland","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2128,2352,168,1980,2421,131
"Italy","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1305,1226,142,1265,1295,130,886,907,112,850,875,110
"Latvia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",459,231,177,638,367,175,574,522,156,791,555,160
"Lithuania","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",536,264,177,680,367,168,NA,NA,NA,1100,690,179
"Luxembourg","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1871,1915,166,1837,2062,151,NA,NA,NA,1884,2269,160
"Macedonia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,827,320,166,618,287,181
"Malta","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1181,1205,120,1088,1159,108,1082,1205,99,1264,1389,108
"Norway","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1655,2418,139,1973,2616,138,2271,3355,144,2506,3670,143
"Poland","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",707,418,187,759,441,173,951,568,167,1237,691,185
"Portugal","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",528,404,149,828,673,179,941,780,175,824,671,171
"Romania","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",358,147,186,591,295,179,775,384,168,722,384,183
"Serbia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1069,539,184
"Slovakia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",648,282,163,569,388,166,737,493,164,841,571,172
"Slovenia","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,1170,873,177,1240,1043,162,1268,1036,173
"Spain","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1414,1206,174,1205,1088,156,1573,1480,172,1600,1477,163
"Sweden","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1386,1734,154,1653,1992,154,1930,2387,163,2351,2951,171
"Switzerland","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1682,2412,118,1854,2761,112
"Turkey","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",NA,NA,NA,871,501,201,NA,NA,NA,832,497,190
"United Kingdom","Services of the business economy","Skilled manual workers","From 50 to 59 years","Females",1261,1448,141,1526,1722,154,1473,1556,151,1555,1889,153
