"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1467,1464,173,1481,1557,162,1607,1774,160,1899,2010,162
"Belgium",NA,NA,NA,1761,1909,160,1914,2125,156,1933,2100,155
"Bulgaria",227,92,183,328,125,176,453,201,168,556,266,185
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",635,328,166,797,485,167,819,593,168,942,600,169
"Denmark",1644,2118,119,1558,2137,110,1766,2411,106,1536,2137,95
"Estonia",556,291,185,632,404,172,749,515,168,999,755,185
"Finland",1482,1757,166,1727,2014,166,1861,2223,161,1995,2440,163
"France",1498,1503,142,1422,1575,154,1395,1568,146,1481,1595,141
"Germany",1733,1793,157,1520,1563,134,1299,1357,140,1708,1733,148
"Greece",871,727,172,NA,NA,NA,862,793,128,1091,932,160
"Hungary",610,327,188,694,414,186,778,465,172,901,518,179
"Iceland",1601,2097,197,NA,NA,NA,1491,1592,144,1407,1661,130
"Ireland",1289,1520,155,1642,1985,161,1709,1890,161,2186,2673,157
"Italy",1223,1149,166,1246,1275,162,1393,1426,164,1467,1510,178
"Latvia",440,222,173,520,299,168,394,358,145,730,512,160
"Lithuania",458,226,175,640,346,173,NA,NA,NA,804,504,183
"Luxembourg",1389,1422,147,1567,1759,151,NA,NA,160,1534,1848,141
"Macedonia",NA,NA,NA,NA,NA,NA,584,226,169,634,295,179
"Malta",NA,NA,198,658,1057,191,NA,NA,NA,1488,1203,184
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1329,1356,147,1107,1180,129,1294,1442,131,1160,1274,111
"Norway",1764,2576,152,2039,2704,147,2106,3110,146,2283,3344,140
"Poland",641,379,189,673,391,178,878,525,171,1071,598,185
"Portugal",747,572,170,708,575,173,726,602,173,780,635,174
"Romania",282,116,189,384,192,181,593,294,175,660,351,188
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,757,382,185
"Slovakia",526,229,174,514,351,171,749,501,163,862,585,170
"Slovenia",801,550,147,834,623,177,1003,844,161,1187,969,176
"Spain",1099,936,178,1180,1065,165,1294,1217,167,1367,1262,161
"Sweden",1525,1908,166,1813,2185,167,1934,2392,164,2294,2880,163
"Switzerland",NA,NA,NA,NA,NA,NA,2048,2937,165,2172,3233,162
"Turkey",NA,NA,NA,618,355,202,NA,NA,NA,757,452,204
"United Kingdom",1430,1643,155,1483,1673,156,1351,1427,160,1366,1659,159
