"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1171,1168,169,1219,1282,163,1314,1451,161,1580,1672,165
"Belgium",NA,NA,NA,1660,1799,155,1857,2062,155,1916,2082,158
"Bulgaria",209,85,183,314,120,176,457,203,166,562,269,184
"Croatia",NA,NA,NA,NA,NA,NA,734,517,164,NA,NA,NA
"Cyprus",789,723,NA,727,1100,167,1328,1180,173,911,820,175
"Czech Rep.",605,313,166,786,478,169,811,587,169,933,594,169
"Denmark",1477,1902,113,1501,2058,111,1603,2189,106,1409,1960,99
"Estonia",526,276,184,643,411,172,722,496,166,975,738,184
"Finland",1481,1757,166,1684,1963,165,1841,2199,161,1958,2395,163
"France",1377,1382,138,1347,1493,149,1334,1500,148,1449,1561,146
"Germany",1431,1481,156,1314,1351,145,1289,1347,145,1690,1715,152
"Greece",897,748,170,1253,1075,174,999,919,149,1077,920,164
"Hungary",556,298,186,658,393,185,739,442,168,857,493,167
"Iceland",1107,1450,155,NA,NA,NA,1413,1510,161,1537,1813,148
"Ireland",1276,1504,155,1618,1956,159,1739,1923,161,2042,2496,151
"Italy",1189,1116,168,1233,1261,163,1214,1242,147,1160,1194,149
"Latvia",364,184,167,487,280,167,370,336,142,705,494,157
"Lithuania",438,216,172,559,302,171,675,399,167,785,493,179
"Luxembourg",1404,1437,149,1530,1718,153,1646,1991,160,1561,1880,161
"Macedonia",NA,NA,NA,NA,NA,NA,590,228,166,600,279,180
"Malta",NA,NA,198,659,1058,191,NA,NA,NA,1488,1203,180
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1118,1140,131,955,1018,115,989,1101,105,854,938,91
"Norway",1740,2542,151,2027,2687,149,2109,3115,149,2275,3331,146
"Poland",559,330,188,619,360,176,828,495,170,1032,576,185
"Portugal",615,471,169,620,503,174,715,593,173,784,639,174
"Romania",264,109,189,376,188,181,557,276,173,655,348,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,646,326,175
"Slovakia",498,217,174,495,338,171,749,501,163,868,588,171
"Slovenia",792,544,144,849,634,177,1006,846,162,1159,946,176
"Spain",1103,940,179,1205,1089,166,1292,1215,166,1457,1345,164
"Sweden",1502,1880,164,1775,2139,166,1937,2396,165,2294,2880,166
"Switzerland",NA,NA,NA,NA,NA,NA,2051,2941,165,2278,3392,160
"Turkey",NA,NA,NA,618,356,202,NA,NA,NA,778,465,202
"United Kingdom",1572,1805,157,1621,1829,157,1423,1504,160,1477,1794,158
