"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1226,1223,155,1197,1259,147,1240,1369,142,1382,1462,140
"Belgium",1605,1607,153,1600,1734,144,1683,1869,139,1810,1968,138
"Bulgaria",250,101,180,404,154,171,651,289,159,784,375,178
"Croatia",NA,NA,NA,NA,NA,NA,1050,740,167,NA,NA,NA
"Cyprus",957,877,163,667,1010,169,1329,1180,167,1212,1092,164
"Czech Rep.",735,380,166,948,577,168,1018,737,168,1088,693,167
"Denmark",990,1275,87,1060,1454,87,1107,1512,80,1011,1407,71
"Estonia",656,344,179,808,516,165,933,641,159,1034,782,169
"Finland",1241,1472,135,1343,1566,131,1445,1726,128,1496,1829,127
"France",1448,1453,134,1484,1644,143,1454,1635,141,1677,1806,144
"Germany",1464,1515,147,1370,1409,140,1374,1435,138,1442,1463,126
"Greece",920,768,163,1107,950,161,1163,1070,153,951,812,147
"Hungary",733,393,183,854,510,179,1056,630,162,1105,636,166
"Iceland",756,990,102,914,1371,105,1126,1203,124,1117,1319,110
"Ireland",1389,1638,131,1628,1968,146,1794,1983,146,1678,2052,124
"Italy",1323,1243,166,1365,1396,158,1392,1424,154,1421,1463,157
"Latvia",510,257,170,688,395,165,597,542,147,855,600,150
"Lithuania",535,264,171,696,376,166,856,506,154,858,538,168
"Luxembourg",1887,1932,160,1875,2104,155,1938,2345,150,2043,2460,165
"Macedonia",NA,NA,NA,NA,NA,NA,1033,400,165,776,361,179
"Malta",1327,958,175,575,923,161,1432,1047,158,1423,1151,150
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,991,550,175
"Netherlands",993,1013,107,848,904,95,908,1012,91,884,971,86
"Norway",1259,1840,110,1330,1764,102,1332,1967,97,1503,2201,100
"Poland",753,445,186,787,458,168,1001,598,162,1218,680,175
"Portugal",837,641,164,827,672,167,842,698,157,831,677,153
"Romania",333,137,187,506,253,177,796,394,167,821,436,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,826,417,181
"Slovakia",653,284,170,632,431,169,969,649,161,1076,730,171
"Slovenia",1051,722,146,1123,838,176,1277,1075,162,1343,1097,171
"Spain",1128,961,166,1175,1061,155,1257,1183,152,1240,1144,141
"Sweden",1284,1607,138,1452,1750,139,1525,1887,135,1713,2151,132
"Switzerland",NA,NA,NA,NA,NA,NA,1927,2763,147,2304,3429,143
"Turkey",NA,NA,NA,807,464,198,950,587,197,958,573,195
"United Kingdom",1401,1608,126,1521,1716,130,1339,1415,125,1378,1674,129
