"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,717,753,111,859,949,114,712,754,91
"Belgium",NA,NA,NA,1147,1244,128,1207,1339,123,1385,1506,122
"Bulgaria",157,64,177,225,86,164,359,159,159,363,174,159
"Croatia",NA,NA,NA,NA,NA,NA,751,529,151,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,586,521,130,NA,NA,NA
"Czech Rep.",432,223,159,480,292,153,646,468,170,625,398,161
"Denmark",NA,NA,NA,1041,1428,89,836,1142,67,618,860,49
"Estonia",NA,NA,NA,307,196,137,416,286,143,515,390,159
"Finland",NA,NA,NA,1172,1367,150,1279,1528,153,1391,1701,149
"France",NA,NA,NA,964,1068,114,909,1021,108,1103,1187,123
"Germany",NA,NA,NA,746,767,116,971,1014,151,536,544,64
"Greece",NA,NA,NA,1391,1194,164,949,873,153,NA,NA,NA
"Hungary",423,227,179,472,282,161,525,313,150,644,370,154
"Iceland",NA,NA,NA,698,1047,102,752,804,105,878,1036,99
"Ireland",1101,1299,120,1316,1591,128,2001,2212,155,1599,1955,120
"Italy",NA,NA,NA,1018,1042,135,1013,1036,130,1157,1191,130
"Latvia",NA,NA,NA,297,171,157,281,255,148,447,313,156
"Lithuania",263,129,163,333,180,154,NA,NA,NA,391,245,140
"Luxembourg",NA,NA,NA,1346,1511,155,1410,1706,151,1577,1899,163
"Macedonia",NA,NA,NA,NA,NA,NA,647,251,168,NA,NA,NA
"Malta",NA,NA,NA,397,638,165,700,512,114,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,629,349,168
"Netherlands",965,984,95,682,727,90,555,618,78,611,671,64
"Norway",NA,NA,NA,970,1287,83,1063,1570,85,936,1371,77
"Poland",456,270,182,496,288,158,602,360,152,755,422,161
"Portugal",NA,NA,NA,666,541,164,718,595,161,740,603,166
"Romania",216,89,196,345,172,176,367,182,158,470,250,168
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,531,268,183
"Slovakia",347,151,164,341,233,152,631,422,158,616,418,166
"Slovenia",771,530,140,748,559,175,871,732,162,976,797,172
"Spain",731,623,155,889,803,142,835,786,139,809,746,123
"Sweden",NA,NA,NA,881,1062,102,952,1177,103,1113,1398,107
"Switzerland",NA,NA,NA,NA,NA,NA,1311,1881,116,1064,1585,81
"Turkey",NA,NA,NA,629,362,192,NA,NA,NA,696,416,196
"United Kingdom",752,864,93,730,824,91,586,619,76,607,738,78
