"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1284,1350,140,1317,1453,132,1451,1535,131
"Belgium",NA,NA,NA,1705,1849,130,1901,2111,133,1928,2096,125
"Bulgaria",271,110,180,407,155,172,578,257,162,639,306,174
"Croatia",NA,NA,NA,NA,NA,NA,1215,856,159,NA,NA,NA
"Cyprus",NA,NA,NA,1042,1578,149,1693,1504,146,1350,1216,154
"Czech Rep.",764,395,165,948,576,164,1049,759,167,1103,703,165
"Denmark",NA,NA,NA,1439,1973,121,1592,2174,115,1523,2120,110
"Estonia",NA,NA,NA,698,446,145,876,602,140,997,754,153
"Finland",NA,NA,NA,1646,1919,156,1813,2165,154,1942,2375,155
"France",NA,NA,NA,1493,1655,142,1518,1706,142,1620,1745,139
"Germany",NA,NA,NA,1463,1504,146,1454,1519,137,1721,1746,142
"Greece",NA,NA,NA,1226,1053,158,1348,1241,153,1192,1019,158
"Hungary",603,323,185,816,487,175,871,521,164,981,564,168
"Iceland",NA,NA,NA,1109,1663,122,1051,1122,120,1202,1418,118
"Ireland",1762,2078,121,2147,2595,139,2458,2717,141,2019,2469,116
"Italy",NA,NA,NA,1297,1327,129,1538,1574,138,1504,1548,140
"Latvia",NA,NA,NA,628,361,153,467,424,137,728,511,149
"Lithuania",461,227,139,648,350,141,701,415,132,770,483,147
"Luxembourg",NA,NA,NA,2352,2640,155,2297,2779,151,2763,3327,164
"Macedonia",NA,NA,NA,NA,NA,NA,1154,447,162,933,434,176
"Malta",NA,NA,NA,704,1131,140,1642,1200,135,1683,1361,143
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,961,533,176
"Netherlands",1475,1504,123,1246,1328,117,1331,1483,109,1468,1612,107
"Norway",NA,NA,NA,1741,2308,119,1637,2417,108,1812,2654,108
"Poland",665,393,142,713,414,118,922,551,124,1105,617,145
"Portugal",NA,NA,NA,1304,1060,155,1233,1022,157,1178,959,162
"Romania",337,139,185,569,284,177,572,283,162,628,334,173
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,981,495,173
"Slovakia",570,248,172,557,380,161,905,606,155,1021,692,163
"Slovenia",1461,1003,150,1493,1114,175,1464,1231,157,1451,1185,170
"Spain",1234,1052,151,1378,1245,141,1457,1371,137,1373,1267,126
"Sweden",NA,NA,NA,1214,1462,115,1309,1619,118,1588,1994,127
"Switzerland",NA,NA,NA,NA,NA,NA,2075,2976,135,2503,3727,143
"Turkey",NA,NA,NA,870,501,192,NA,NA,NA,1079,645,194
"United Kingdom",1673,1921,136,1861,2101,136,1663,1758,133,1575,1913,134
