"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,756,834,154,NA,NA,NA
"Belgium",NA,NA,NA,1162,1260,146,1469,1631,153,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",489,253,168,593,360,171,682,494,181,743,473,171
"Denmark",NA,NA,NA,1702,2335,116,1355,1851,92,NA,NA,NA
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1248,1456,156,1247,1490,145,1427,1746,161
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,1500,153
"Germany",NA,NA,NA,821,844,109,917,958,130,1243,1262,139
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",461,247,182,NA,NA,NA,NA,NA,NA,649,374,158
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,1027,1050,109,1161,1188,165,1180,1215,167
"Latvia",NA,NA,NA,388,223,168,344,312,151,NA,NA,NA
"Lithuania",280,138,167,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,864,921,106,873,972,97,NA,NA,NA
"Norway",NA,NA,NA,1487,1972,124,1493,2205,120,1719,2517,131
"Poland",NA,NA,NA,495,287,155,NA,NA,NA,NA,NA,NA
"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",412,179,154,299,204,147,NA,NA,NA,NA,NA,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",830,707,172,932,841,152,1329,1251,163,927,856,158
"Sweden",NA,NA,NA,1377,1659,150,NA,NA,NA,1932,2426,170
"Switzerland",NA,NA,NA,NA,NA,NA,1946,2790,142,1719,2558,140
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,905,541,202
"United Kingdom",1692,1943,150,NA,NA,NA,NA,NA,NA,1534,1864,148
