"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1230,1294,138,1280,1413,132,1420,1503,130
"Belgium",NA,NA,NA,1655,1794,130,1829,2030,132,1865,2027,125
"Bulgaria",262,106,179,377,144,170,569,253,162,634,304,174
"Croatia",NA,NA,NA,NA,NA,NA,1201,846,159,NA,NA,NA
"Cyprus",NA,NA,NA,1038,1571,149,1633,1451,146,1317,1187,155
"Czech Rep.",744,385,164,927,564,164,1032,747,167,1084,690,165
"Denmark",NA,NA,NA,1412,1937,119,1539,2101,112,1458,2029,105
"Estonia",NA,NA,NA,676,432,145,853,586,140,981,742,153
"Finland",NA,NA,NA,1606,1872,156,1771,2116,154,1914,2340,155
"France",NA,NA,NA,1460,1618,141,1469,1651,139,1586,1708,138
"Germany",NA,NA,NA,1392,1431,143,1401,1463,139,1640,1664,137
"Greece",NA,NA,NA,1240,1064,158,1341,1234,153,1176,1005,158
"Hungary",592,317,185,799,477,174,851,508,163,959,552,167
"Iceland",NA,NA,NA,1080,1619,121,1035,1106,119,1186,1399,117
"Ireland",1716,2023,122,2103,2542,139,2438,2695,142,1974,2414,116
"Italy",NA,NA,NA,1280,1310,129,1502,1537,137,1481,1525,140
"Latvia",NA,NA,NA,598,344,154,444,404,138,702,492,150
"Lithuania",435,214,142,626,338,142,689,408,132,749,470,147
"Luxembourg",NA,NA,NA,2240,2514,155,2234,2702,151,2700,3252,164
"Macedonia",NA,NA,NA,NA,NA,NA,1146,444,162,927,431,176
"Malta",NA,NA,NA,699,1123,141,1626,1189,135,1677,1356,143
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,946,525,175
"Netherlands",1351,1378,117,1117,1191,111,1265,1409,107,1425,1565,104
"Norway",NA,NA,NA,1694,2247,117,1611,2379,107,1785,2615,107
"Poland",651,385,145,701,407,120,907,542,126,1092,610,145
"Portugal",NA,NA,NA,1231,1000,156,1186,983,158,1147,934,163
"Romania",329,135,186,558,279,177,565,280,162,625,332,173
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,959,484,174
"Slovakia",558,243,172,544,371,161,899,601,155,1005,681,163
"Slovenia",1401,962,149,1445,1078,175,1437,1209,158,1429,1167,170
"Spain",1196,1020,152,1358,1226,142,1447,1362,137,1363,1258,126
"Sweden",NA,NA,NA,1197,1443,114,1291,1597,118,1572,1973,126
"Switzerland",NA,NA,NA,NA,NA,NA,2042,2928,134,2459,3660,142
"Turkey",NA,NA,NA,863,497,192,1037,641,194,1072,641,194
"United Kingdom",1604,1842,133,1740,1963,131,1599,1690,130,1527,1855,132
