"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3042,3035,163,2533,2664,165,2917,3219,170,2810,2973,165
"Belgium",3060,3064,170,2700,2927,170,NA,NA,NA,NA,NA,NA
"Bulgaria",442,179,185,789,301,174,1436,637,154,1830,876,179
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",1322,684,169,1427,868,157,1559,1129,170,1656,1055,170
"Denmark",2590,3335,158,2547,3494,158,3187,4353,155,3237,4505,159
"Estonia",1262,661,183,1442,921,176,1640,1127,160,1786,1350,178
"Finland",NA,NA,NA,NA,NA,NA,3490,4169,165,NA,NA,NA
"France",2862,2872,147,2946,3265,165,2686,3019,173,3077,3313,178
"Germany",2611,2702,164,2541,2612,161,3137,3277,166,3408,3459,169
"Greece",1649,1377,176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",1524,817,184,1505,899,183,1717,1026,161,1914,1101,162
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",2884,3401,157,2083,2517,169,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",781,394,178,1166,670,169,847,769,156,1340,940,163
"Lithuania",874,430,174,1226,663,172,1288,762,168,1741,1092,184
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,2564,2816,165
"Norway",3038,4437,164,2990,3965,162,3339,4932,165,3630,5316,163
"Poland",1501,887,186,1509,877,173,1668,997,167,1909,1066,182
"Portugal",1589,1216,172,1950,1584,171,1823,1511,173,NA,NA,NA
"Romania",668,275,187,1196,597,177,1388,688,166,1599,850,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,669,184
"Slovakia",1155,502,171,1088,742,171,1577,1055,162,1548,1050,170
"Slovenia",NA,NA,NA,2275,1698,177,NA,NA,168,2555,2086,172
"Spain",2033,1733,180,2664,2406,170,2677,2519,NA,NA,NA,NA
"Sweden",2169,2715,169,1757,2117,134,2586,3199,172,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,3381,4849,171,3818,5684,174
"Turkey",NA,NA,NA,1090,627,197,1513,935,195,1957,1170,195
"United Kingdom",2957,3396,158,3106,3505,161,2730,2885,165,2964,3600,164
