"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1462,1459,166,1520,1598,160,1592,1757,155,1801,1906,158
"Belgium",1891,1893,168,1936,2099,158,2042,2267,150,2542,2763,166
"Bulgaria",292,118,181,463,177,174,667,296,162,825,395,179
"Croatia",NA,NA,NA,NA,NA,NA,1117,787,167,NA,NA,NA
"Cyprus",901,825,167,610,923,168,1212,1076,167,1147,1034,169
"Czech Rep.",802,415,168,1124,684,168,1150,832,170,1271,810,170
"Denmark",1531,1972,122,1593,2185,120,1577,2154,104,1520,2115,96
"Estonia",842,441,179,959,612,169,1169,803,161,1328,1004,178
"Finland",1771,2100,163,1937,2258,159,2125,2539,158,2222,2717,159
"France",1616,1622,144,1716,1902,151,1693,1903,152,1879,2024,153
"Germany",1625,1681,157,1621,1667,153,1708,1784,152,1975,2005,152
"Greece",1023,854,170,1202,1032,171,1303,1200,161,980,837,162
"Hungary",959,514,184,1065,636,180,1155,690,167,1367,787,169
"Iceland",690,903,84,659,988,75,1256,1342,123,1090,1287,105
"Ireland",1835,2163,152,2067,2498,164,2224,2460,163,2113,2584,162
"Italy",1486,1396,179,1465,1499,171,1598,1635,166,1674,1723,176
"Latvia",573,289,170,747,429,166,634,577,149,1001,702,162
"Lithuania",659,324,170,803,434,167,915,541,158,1057,663,170
"Luxembourg",2021,2069,169,2038,2288,163,2209,2672,163,2274,2739,177
"Macedonia",NA,NA,NA,NA,NA,NA,1196,463,167,963,448,182
"Malta",1479,1068,188,671,1079,183,1768,1293,174,1896,1534,180
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1699,942,178
"Netherlands",1767,1803,145,1380,1471,131,1439,1603,127,1539,1690,125
"Norway",1922,2808,143,2213,2935,141,2609,3852,147,2767,4053,144
"Poland",846,500,186,941,547,172,1131,676,167,1348,753,180
"Portugal",905,693,168,998,811,171,1030,854,172,976,795,171
"Romania",406,167,187,614,307,177,927,459,168,949,504,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,963,486,184
"Slovakia",694,302,174,721,491,170,1092,731,162,1247,846,174
"Slovenia",1229,844,156,1366,1020,176,1461,1229,163,1775,1449,178
"Spain",1321,1126,176,1381,1247,164,1564,1471,166,1615,1490,166
"Sweden",1720,2153,164,1934,2331,165,1982,2452,160,2410,3026,167
"Switzerland",NA,NA,NA,NA,NA,NA,2412,3459,166,2726,4059,159
"Turkey",NA,NA,NA,817,470,198,NA,NA,NA,1108,663,197
"United Kingdom",2067,2374,156,2113,2384,156,1910,2018,157,1977,2402,156
