"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,851,542,173
"Denmark",2057,2649,150,1956,2683,137,2016,2753,141,NA,NA,NA
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",NA,NA,NA,1035,1064,105,1258,1314,132,NA,NA,NA
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",NA,NA,NA,348,200,158,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",NA,NA,NA,NA,NA,NA,1900,2807,154,2345,3435,152
"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania",267,110,193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
