"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,851,542,173
"Denmark","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",2057,2649,150,1956,2683,137,2016,2753,141,NA,NA,NA
"Estonia","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,1035,1064,105,1258,1314,132,NA,NA,NA
"Greece","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,348,200,158,NA,NA,NA,NA,NA,NA
"Lithuania","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway","Industry and construction","Skilled agricultural, forestry and fishery workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,1900,2807,154,2345,3435,152
