"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1379,1450,156,1409,1555,152,1568,1659,153
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1677,1818,152,1871,2077,151,1888,2052,148
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",274,111,179,396,151,173,675,299,163,744,356,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,1165,821,168,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,605,915,167,1353,1201,166,1222,1100,164
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",714,369,165,929,565,167,1066,772,168,1133,722,168
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1335,1832,110,1391,1900,100,1354,1884,96
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,777,496,164,947,651,159,1064,804,171
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1458,1701,145,1582,1889,142,1679,2054,145
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1293,1433,140,1408,1582,144,1526,1643,143
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1606,1651,154,1405,1468,141,1826,1853,156
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1079,926,160,1147,1055,160,1001,855,158
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",709,380,180,811,484,177,1058,632,163,1112,640,165
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,937,1405,106,1182,1263,127,1349,1592,126
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1577,1859,147,1744,2108,155,1956,2162,154,1823,2230,137
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1489,1523,165,1502,1537,159,1507,1551,164
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,659,379,167,541,491,150,889,623,151
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",492,242,167,663,358,166,707,418,154,797,500,169
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1979,2222,163,2062,2495,159,2157,2598,172
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,1189,460,166,787,366,178
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,608,976,169,1458,1066,162,1419,1148,155
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,780,433,176
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1052,1073,121,983,1048,107,1192,1328,112,1215,1334,113
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,1605,2127,122,1556,2299,113,1718,2516,114
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",757,448,185,726,422,164,944,564,162,1124,628,176
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,902,733,166,1006,834,166,1030,839,168
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",403,166,185,551,275,174,685,340,166,686,364,174
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,921,465,182
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",528,229,164,598,408,168,922,617,160,1045,709,168
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1178,809,156,1239,924,175,1275,1072,164,1291,1054,166
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1061,904,168,1126,1017,158,1267,1192,157,1274,1176,154
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1261,1578,145,1429,1722,145,1601,1981,152,1887,2369,157
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,2251,3228,158,2355,3507,149
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",NA,NA,NA,795,457,195,984,608,194,911,545,195
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","Less than 30 years","Females",1512,1737,144,1624,1833,144,1387,1466,138,1376,1672,140
