"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,952,1001,125,939,1036,118,977,1034,112
"Belgium",NA,NA,NA,1169,1268,124,1225,1360,119,1387,1508,118
"Bulgaria",173,70,180,265,101,170,383,170,152,474,227,177
"Croatia",NA,NA,NA,NA,NA,NA,721,508,161,NA,NA,NA
"Cyprus",NA,NA,NA,545,825,172,887,788,166,1081,974,167
"Czech Rep.",490,253,161,638,388,165,699,506,167,772,492,166
"Denmark",NA,NA,NA,729,999,61,667,911,51,560,779,42
"Estonia",NA,NA,NA,428,273,140,544,374,145,715,540,150
"Finland",NA,NA,NA,1153,1345,139,1229,1469,139,1376,1683,142
"France",NA,NA,NA,993,1101,126,992,1114,116,1130,1217,122
"Germany",NA,NA,NA,820,843,109,872,911,119,509,516,61
"Greece",NA,NA,NA,1069,917,162,952,876,148,772,660,144
"Hungary",481,258,176,500,299,165,588,351,154,748,430,162
"Iceland",NA,NA,NA,990,1484,137,921,984,126,1205,1422,131
"Ireland",1009,1190,120,1168,1412,123,1475,1631,143,1357,1659,117
"Italy",NA,NA,NA,967,989,133,1060,1084,137,1095,1127,140
"Latvia",NA,NA,NA,385,221,152,325,296,139,536,376,145
"Lithuania",291,143,161,474,256,160,448,265,147,558,350,153
"Luxembourg",NA,NA,NA,1084,1217,127,1102,1333,123,1302,1568,135
"Macedonia",NA,NA,NA,NA,NA,NA,680,263,167,533,248,172
"Malta",NA,NA,NA,356,572,137,1122,820,166,944,763,131
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,696,386,168
"Netherlands",722,736,82,545,581,76,465,518,64,439,482,55
"Norway",NA,NA,NA,1074,1423,91,1023,1511,84,1153,1688,88
"Poland",492,291,186,536,312,166,680,406,158,849,474,168
"Portugal",NA,NA,NA,651,529,165,669,554,153,702,572,153
"Romania",216,89,191,325,162,178,442,219,170,527,280,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,635,320,183
"Slovakia",421,183,166,430,293,162,633,423,160,723,490,165
"Slovenia",748,514,151,766,572,178,910,765,163,1035,845,174
"Spain",808,689,149,946,855,145,935,879,131,927,856,121
"Sweden",1100,1377,138,1102,1328,125,1215,1503,127,1330,1669,121
"Switzerland",NA,NA,NA,NA,NA,NA,1191,1708,113,1519,2261,110
"Turkey",NA,NA,NA,620,357,201,NA,NA,NA,727,435,199
"United Kingdom",923,1059,108,945,1066,113,750,793,102,790,960,105
