"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,937,986,139,945,1043,131,1026,1086,124
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1267,1373,127,1360,1510,125,1391,1512,116
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",173,70,174,265,101,164,445,198,154,548,262,173
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,858,605,167,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,612,926,NA,1062,944,166,995,896,158
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",540,279,166,674,410,168,762,551,167,831,529,164
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1014,1391,93,1030,1407,85,945,1315,76
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,571,365,162,678,466,156,759,574,162
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1095,1277,120,1271,1518,124,1383,1691,126
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1199,1329,136,1224,1376,132,1415,1524,136
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,976,1003,127,1003,1047,125,1031,1046,116
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1064,913,162,1015,934,145,854,729,140
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",503,270,180,551,329,174,707,422,156,775,446,161
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,703,1054,92,833,889,107,890,1051,99
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",849,1001,101,1138,1375,125,1439,1591,134,1373,1678,116
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1186,1214,138,1227,1256,146,1241,1278,143
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,454,261,163,391,356,141,571,400,139
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",354,174,172,479,259,165,532,315,153,652,409,164
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,1351,1516,146,1464,1771,140,1672,2014,158
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,727,282,163,572,266,176
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,344,552,118,946,692,131,1066,862,129
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,680,377,176
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",912,930,104,768,818,96,765,852,85,709,779,74
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,973,1291,84,1005,1485,81,1092,1599,81
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",509,301,186,536,312,162,716,428,156,876,489,166
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,702,570,164,704,584,148,725,590,144
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",218,90,185,350,175,176,494,245,165,554,294,174
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,636,321,182
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",532,231,172,442,302,165,704,471,159,835,566,167
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",864,593,142,912,681,176,1085,913,160,1071,875,165
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",971,828,157,1012,914,146,1057,995,142,976,901,125
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",905,1133,101,1082,1304,106,1164,1440,106,1345,1689,110
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,1715,2460,137,1801,2681,125
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",NA,NA,NA,687,395,197,809,500,197,775,464,193
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","Less than 30 years","Females",845,971,104,935,1055,107,880,930,107,886,1076,110
