"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1204,1266,162,1267,1398,161,1554,1644,165
"Belgium",NA,NA,NA,1606,1741,154,1832,2034,155,1909,2075,157
"Bulgaria",209,85,183,NA,NA,176,457,203,166,562,269,184
"Croatia",NA,NA,NA,NA,NA,NA,735,517,164,NA,NA,NA
"Cyprus",NA,NA,NA,729,1104,168,1289,1145,178,909,819,175
"Czech Rep.",603,312,166,784,477,169,806,583,169,930,593,169
"Denmark",NA,NA,NA,1496,2052,111,1588,2169,105,1401,1949,99
"Estonia",NA,NA,NA,642,410,172,719,494,166,969,733,183
"Finland",NA,NA,NA,1655,1930,165,1795,2144,160,1930,2360,163
"France",NA,NA,NA,1303,1444,148,1332,1497,147,1415,1524,144
"Germany",NA,NA,NA,1289,1326,144,1260,1317,145,1645,1669,153
"Greece",NA,NA,NA,1241,1065,175,1029,947,150,1080,922,163
"Hungary",556,298,186,657,392,185,737,440,168,855,492,166
"Iceland",NA,NA,NA,NA,NA,NA,1413,1510,161,1538,1815,148
"Ireland",1273,1500,155,1616,1953,159,1730,1913,162,1948,2382,149
"Italy",NA,NA,NA,1229,1257,162,1201,1229,146,1157,1191,149
"Latvia",NA,NA,NA,482,277,166,365,332,142,690,484,156
"Lithuania",436,215,172,558,302,171,672,397,167,784,492,179
"Luxembourg",NA,NA,NA,1523,1710,153,1637,1980,159,1572,1893,165
"Macedonia",NA,NA,NA,NA,NA,NA,592,229,166,600,279,180
"Malta",NA,NA,NA,658,1057,191,NA,NA,NA,1478,1196,180
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1105,1127,129,918,979,112,929,1035,103,870,956,90
"Norway",NA,NA,NA,1991,2640,147,2071,3059,147,2242,3283,145
"Poland",558,330,188,618,359,175,826,493,170,1031,576,185
"Portugal",NA,NA,NA,620,504,174,716,593,173,784,639,174
"Romania",264,109,189,376,188,180,555,275,173,657,349,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,646,326,175
"Slovakia",497,216,174,493,336,170,749,501,163,868,588,171
"Slovenia",790,543,144,855,638,177,1008,848,162,1156,944,175
"Spain",1095,933,178,1201,1085,166,1304,1227,166,1429,1319,164
"Sweden",1502,1880,164,1717,2069,163,1883,2329,163,2241,2814,165
"Switzerland",NA,NA,NA,NA,NA,NA,2046,2934,164,2254,3355,159
"Turkey",NA,NA,NA,619,356,202,NA,NA,NA,778,465,202
"United Kingdom",1595,1832,157,1619,1827,156,1433,1514,159,1476,1793,158
