"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1609,1692,145,1690,1866,150,1842,1949,154
"Belgium",NA,NA,NA,1923,2084,154,2067,2295,151,2024,2199,146
"Bulgaria",349,141,181,627,239,171,961,427,163,1064,509,177
"Croatia",NA,NA,NA,NA,NA,NA,1371,966,167,NA,NA,NA
"Cyprus",NA,NA,NA,816,1235,168,1879,1669,169,1562,1407,172
"Czech Rep.",864,446,168,1103,671,168,1224,886,169,1270,809,168
"Denmark",NA,NA,NA,1766,2422,137,1996,2726,138,2069,2879,133
"Estonia",NA,NA,NA,964,616,163,1117,767,158,1215,918,169
"Finland",NA,NA,NA,1784,2080,158,1983,2369,157,2099,2567,156
"France",NA,NA,NA,1687,1870,147,1718,1930,149,1855,1998,147
"Germany",NA,NA,NA,1571,1615,152,1656,1729,151,1866,1894,150
"Greece",NA,NA,NA,1315,1128,171,1348,1241,168,1168,998,162
"Hungary",825,442,185,1006,600,179,1167,697,165,1237,712,169
"Iceland",NA,NA,NA,1239,1858,119,1418,1515,132,1637,1932,135
"Ireland",1957,2308,140,2253,2723,160,2282,2523,158,1936,2367,129
"Italy",NA,NA,NA,1520,1555,153,1757,1798,157,1719,1770,165
"Latvia",NA,NA,NA,822,473,162,709,645,150,1011,709,164
"Lithuania",509,250,162,724,391,161,728,430,148,866,543,165
"Luxembourg",NA,NA,NA,2626,2948,163,2564,3102,159,2638,3177,174
"Macedonia",NA,NA,NA,NA,NA,NA,1149,445,165,895,416,180
"Malta",NA,NA,NA,630,1013,154,1762,1288,170,1840,1488,163
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1191,661,174
"Netherlands",1580,1612,129,1375,1466,124,1524,1698,120,1485,1631,116
"Norway",NA,NA,NA,2178,2887,138,2196,3243,134,2300,3369,131
"Poland",776,459,182,909,528,168,1064,636,162,1307,730,178
"Portugal",NA,NA,NA,1275,1036,165,1242,1029,167,1244,1013,166
"Romania",376,155,185,585,292,173,820,406,162,872,463,175
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1033,521,183
"Slovakia",785,341,174,703,479,168,1176,787,161,1280,868,174
"Slovenia",1339,919,147,1358,1014,177,1415,1190,164,1513,1235,174
"Spain",1390,1185,171,1380,1246,157,1477,1390,154,1435,1325,145
"Sweden",1727,2161,166,1702,2050,150,1817,2247,151,2154,2704,158
"Switzerland",NA,NA,NA,NA,NA,NA,2544,3649,158,2792,4156,159
"Turkey",NA,NA,NA,923,531,197,1101,680,196,1109,663,196
"United Kingdom",2078,2387,148,2168,2447,149,1734,1833,145,1749,2125,148
