"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1609,1692,145,1690,1866,150,1842,1949,154
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1923,2084,154,2067,2295,151,2024,2199,146
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",349,141,181,627,239,171,961,427,163,1064,509,177
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,NA,NA,NA,1371,966,167,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,816,1235,168,1879,1669,169,1562,1407,172
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",864,446,168,1103,671,168,1224,886,169,1270,809,168
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1766,2422,137,1996,2726,138,2069,2879,133
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,964,616,163,1117,767,158,1215,918,169
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1784,2080,158,1983,2369,157,2099,2567,156
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1687,1870,147,1718,1930,149,1855,1998,147
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1571,1615,152,1656,1729,151,1866,1894,150
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1315,1128,171,1348,1241,168,1168,998,162
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",825,442,185,1006,600,179,1167,697,165,1237,712,169
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Less than 30 years","Females",NA,NA,NA,1239,1858,119,1418,1515,132,1637,1932,135
