"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2227,2223,160,2185,2297,160,2231,2462,158,2418,2559,162
"Belgium",2392,2395,176,2356,2554,166,2557,2838,159,2756,2995,165
"Bulgaria",499,202,180,937,357,174,1371,609,164,1602,767,180
"Croatia",NA,NA,NA,NA,NA,NA,1846,1300,169,NA,NA,NA
"Cyprus",1607,1472,171,1150,1740,169,2099,1864,172,1872,1686,171
"Czech Rep.",1168,604,165,1442,877,168,1522,1102,168,1697,1081,166
"Denmark",2403,3094,151,1944,2667,127,2140,2922,121,2174,3024,118
"Estonia",1482,776,178,1463,934,168,1562,1074,161,1715,1297,175
"Finland",2031,2409,156,2226,2596,157,2423,2895,155,2506,3065,153
"France",2745,2754,147,2519,2791,170,2294,2578,150,2481,2672,155
"Germany",2571,2660,158,2395,2462,155,2193,2291,150,2627,2666,152
"Greece",1352,1129,169,1681,1443,164,1568,1444,162,1500,1282,166
"Hungary",1506,807,184,1817,1084,181,1817,1085,163,1840,1059,168
"Iceland",NA,NA,NA,2534,3800,153,2408,2572,157,2457,2900,151
"Ireland",2436,2872,151,2340,2828,162,2479,2741,157,3003,3672,130
"Italy",NA,NA,NA,1742,1782,173,1854,1897,167,1953,2010,181
"Latvia",982,495,175,1180,678,167,978,888,157,1502,1053,166
"Lithuania",916,451,173,983,531,167,1398,827,153,1292,810,176
"Luxembourg",NA,NA,NA,2806,3150,168,2813,3403,165,2762,3326,181
"Macedonia",NA,NA,NA,NA,NA,NA,1579,611,166,1137,529,183
"Malta",1964,1418,165,854,1373,166,2809,2054,179,2190,1771,169
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,964,173
"Netherlands",2228,2273,157,1917,2043,138,1957,2180,135,1768,1941,128
"Norway",2702,3947,161,2862,3795,162,2856,4218,155,3103,4544,156
"Poland",1240,733,174,1334,775,171,1481,885,161,1702,951,178
"Portugal",2189,1676,170,1445,1174,163,1582,1312,163,1478,1204,170
"Romania",887,365,183,1162,580,173,1519,753,165,1457,774,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1511,762,183
"Slovakia",1024,445,170,1001,683,169,1516,1015,162,1662,1127,175
"Slovenia",1860,1277,146,1766,1318,176,1931,1624,158,1855,1515,178
"Spain",1850,1577,178,1789,1616,167,1929,1815,167,1972,1821,167
"Sweden",2158,2700,168,2172,2617,165,2335,2889,168,2647,3324,169
"Switzerland",NA,NA,NA,NA,NA,NA,3327,4772,168,3115,4637,163
"Turkey",NA,NA,NA,1364,785,195,NA,NA,NA,1851,1107,193
"United Kingdom",2912,3344,155,2991,3375,153,2676,2828,157,2503,3041,157
