"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1830,1826,170,1666,1752,161,1661,1833,157,1809,1914,158
"Belgium",1921,1923,172,2018,2188,159,2053,2280,154,2111,2294,163
"Bulgaria",485,197,179,733,279,168,1073,476,164,1144,547,177
"Croatia",NA,NA,NA,NA,NA,NA,1499,1056,168,NA,NA,NA
"Cyprus",1244,1140,170,837,1266,170,1970,1750,171,1553,1399,172
"Czech Rep.",919,475,169,1172,713,169,1312,950,170,1345,857,170
"Denmark",1946,2506,143,1726,2368,129,1998,2729,136,2105,2929,130
"Estonia",882,462,181,1082,691,170,1212,833,163,1328,1004,175
"Finland",1618,1919,159,1768,2062,157,1937,2314,153,2076,2539,154
"France",1632,1637,143,1723,1910,149,1776,1996,151,1970,2121,152
"Germany",1596,1652,162,1630,1675,156,2094,2188,157,1908,1936,156
"Greece",995,830,165,1292,1109,167,1264,1164,164,1255,1072,163
"Hungary",982,526,183,1135,678,180,1321,789,164,1400,805,168
"Iceland",NA,NA,NA,1751,2626,147,1629,1739,137,1894,2236,150
"Ireland",2062,2431,154,2205,2666,166,2065,2283,161,1983,2425,133
"Italy",1618,1520,169,1571,1607,171,1765,1806,165,1784,1836,175
"Latvia",746,376,171,925,532,166,803,730,154,1133,794,169
"Lithuania",570,281,166,771,417,161,772,456,151,915,574,171
"Luxembourg",2546,2605,170,2576,2892,169,2527,3057,163,2403,2894,178
"Macedonia",NA,NA,NA,NA,NA,NA,1170,453,164,861,401,178
"Malta",1603,1157,158,675,1085,170,1733,1267,167,1737,1405,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,710,168
"Netherlands",1682,1716,135,1520,1620,133,1586,1767,126,1475,1620,124
"Norway",2199,3212,155,2354,3122,150,2271,3354,142,2313,3388,136
"Poland",988,584,186,990,575,169,1185,708,164,1412,788,180
"Portugal",1544,1182,167,1391,1130,168,1315,1090,168,1380,1124,169
"Romania",443,182,183,561,280,169,897,444,164,896,476,174
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,574,180
"Slovakia",926,402,175,770,525,170,1282,858,162,1387,940,175
"Slovenia",1327,911,136,1364,1018,174,1487,1251,163,1616,1320,173
"Spain",1488,1268,177,1430,1292,163,1542,1451,163,1585,1463,158
"Sweden",1700,2128,165,1904,2295,162,1918,2372,159,2256,2833,164
"Switzerland",NA,NA,NA,NA,NA,NA,2592,3717,164,2797,4163,162
"Turkey",NA,NA,NA,1060,609,194,NA,NA,NA,1219,729,192
"United Kingdom",2105,2417,147,2223,2509,155,1769,1869,148,1833,2227,152
