"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1241,1238,158,1264,1329,152,1338,1476,151,1626,1720,158
"Belgium",NA,NA,NA,1611,1746,149,1843,2046,147,2173,2362,155
"Bulgaria",228,92,183,353,134,175,504,224,165,579,277,181
"Croatia",NA,NA,NA,NA,NA,NA,774,545,168,NA,NA,NA
"Cyprus",1052,964,NA,821,1242,163,1624,1443,178,1059,954,159
"Czech Rep.",586,303,167,758,461,169,808,585,170,947,603,170
"Denmark",1619,2085,124,1784,2447,125,2112,2884,125,2105,2929,127
"Estonia",536,281,185,686,438,174,770,529,168,967,732,182
"Finland",1516,1798,165,1728,2015,165,1908,2280,163,2107,2577,164
"France",1362,1366,136,1515,1679,144,1495,1680,147,1573,1694,142
"Germany",1453,1503,140,1488,1530,135,1525,1593,137,1901,1929,145
"Greece",1032,862,169,1845,1584,170,1389,1279,164,1274,1088,163
"Hungary",538,288,183,612,366,180,717,428,163,821,472,162
"Iceland",1168,1529,155,1487,2229,164,1537,1642,177,1750,2065,169
"Ireland",1244,1467,145,1688,2041,146,1877,2075,151,2062,2522,149
"Italy",1242,1167,164,1287,1317,157,1102,1127,130,1141,1174,131
"Latvia",379,191,171,511,294,170,418,380,148,689,483,160
"Lithuania",451,222,171,568,307,170,NA,NA,NA,795,499,178
"Luxembourg",1601,1638,157,1564,1756,153,1718,2078,155,1880,2265,169
"Macedonia",NA,NA,NA,NA,NA,NA,625,242,166,578,269,181
"Malta",1044,754,172,638,1025,173,1893,1385,187,1607,1300,173
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1193,1217,113,1244,1325,119,1265,1410,113,1197,1314,108
"Norway",1877,2741,148,2272,3012,152,2368,3497,152,2570,3764,154
"Poland",558,330,188,613,356,175,781,467,169,1015,567,184
"Portugal",602,461,168,618,502,173,755,626,174,813,662,173
"Romania",311,128,189,431,215,180,608,301,171,704,374,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,687,346,182
"Slovakia",507,220,172,488,333,171,752,503,164,890,603,174
"Slovenia",873,600,156,910,679,178,1084,912,163,1234,1008,176
"Spain",1154,984,176,1258,1136,163,1420,1336,167,1454,1342,160
"Sweden",1486,1859,160,1724,2078,163,2052,2539,167,2367,2972,169
"Switzerland",NA,NA,NA,NA,NA,NA,1974,2831,142,2268,3376,145
"Turkey",NA,NA,NA,664,382,202,871,538,201,808,483,200
"United Kingdom",1671,1919,154,1846,2083,155,1586,1676,152,1623,1971,154
