"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Professionals","Total","Females",2926,2919,155,2702,2841,147,2797,3087,148,3048,3226,151
"Belgium","Business economy","Professionals","Total","Females",2989,2993,171,3093,3353,161,3335,3702,153,3844,4178,162
"Bulgaria","Business economy","Professionals","Total","Females",530,215,182,880,335,173,1258,558,163,1500,718,179
"Croatia","Business economy","Professionals","Total","Females",NA,NA,NA,NA,NA,NA,2458,1731,168,NA,NA,NA
"Cyprus","Business economy","Professionals","Total","Females",2025,1856,170,1808,2737,166,2878,2556,167,2706,2437,169
"Czech Rep.","Business economy","Professionals","Total","Females",1199,620,166,1638,996,167,1775,1285,167,2092,1333,165
"Denmark","Business economy","Professionals","Total","Females",3182,4098,156,3279,4498,148,3399,4642,141,3564,4960,140
"Estonia","Business economy","Professionals","Total","Females",1102,577,176,1409,900,166,1683,1156,161,1888,1428,174
"Finland","Business economy","Professionals","Total","Females",2557,3033,161,2817,3286,159,3147,3760,158,3421,4183,159
"France","Business economy","Professionals","Total","Females",3110,3121,142,3218,3566,162,3247,3649,156,3615,3893,159
"Germany","Business economy","Professionals","Total","Females",3284,3398,155,3322,3415,149,3245,3390,148,3752,3808,149
"Greece","Business economy","Professionals","Total","Females",1881,1570,170,2353,2020,171,2353,2165,165,2290,1956,167
"Hungary","Business economy","Professionals","Total","Females",1651,885,182,2062,1231,179,2391,1428,163,2417,1390,167
"Iceland","Business economy","Professionals","Total","Females",2404,3148,153,2978,4466,166,2819,3011,163,3385,3995,160
"Ireland","Business economy","Professionals","Total","Females",2936,3461,152,3007,3635,161,3569,3946,158,3674,4492,147
"Italy","Business economy","Professionals","Total","Females",5337,5013,162,2408,2463,164,2911,2978,162,2879,2964,174
"Latvia","Business economy","Professionals","Total","Females",822,415,172,1049,603,164,892,810,150,1537,1078,162
"Lithuania","Business economy","Professionals","Total","Females",827,407,171,947,512,163,1103,652,151,1283,805,168
"Luxembourg","Business economy","Professionals","Total","Females",3596,3680,163,3557,3993,159,3573,4322,157,3650,4396,170
"Macedonia","Business economy","Professionals","Total","Females",NA,NA,NA,NA,NA,NA,1870,724,168,1453,676,181
"Malta","Business economy","Professionals","Total","Females",1646,1188,160,957,1539,159,2570,1879,165,2365,1913,164
"Montenegro","Business economy","Professionals","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,2455,1362,178
"Netherlands","Business economy","Professionals","Total","Females",2471,2521,135,2483,2647,133,2671,2976,134,2688,2951,135
"Norway","Business economy","Professionals","Total","Females",3060,4469,157,3547,4703,157,3604,5323,156,4038,5914,156
"Poland","Business economy","Professionals","Total","Females",1435,849,175,1530,889,169,1702,1017,161,2089,1167,178
"Portugal","Business economy","Professionals","Total","Females",2223,1702,163,2287,1859,165,2356,1953,163,2296,1870,166
"Romania","Business economy","Professionals","Total","Females",801,330,184,1167,582,174,1549,767,165,1608,854,180
"Serbia","Business economy","Professionals","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1815,916,184
"Slovakia","Business economy","Professionals","Total","Females",1119,487,172,1136,774,167,1726,1155,160,1882,1276,172
"Slovenia","Business economy","Professionals","Total","Females",2780,1909,158,2718,2028,175,2742,2307,163,2940,2400,176
"Spain","Business economy","Professionals","Total","Females",2408,2052,177,2284,2063,166,2535,2385,166,2747,2535,166
"Sweden","Business economy","Professionals","Total","Females",2499,3127,163,2862,3448,163,2988,3696,165,3518,4417,167
"Switzerland","Business economy","Professionals","Total","Females",NA,NA,NA,NA,NA,NA,4301,6169,159,3784,5633,148
"Turkey","Business economy","Professionals","Total","Females",NA,NA,NA,1753,1008,194,2011,1243,193,2421,1448,191
"United Kingdom","Business economy","Professionals","Total","Females",3315,3806,149,3411,3850,148,3130,3308,150,3028,3679,150
