"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",231,94,181,335,128,174,404,179,150,NA,NA,NA
"Croatia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,948,668,168,NA,NA,NA
"Cyprus","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",525,272,163,1003,610,178,737,534,178,977,622,175
"Denmark","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1857,2391,140,1822,2499,134,1951,2664,127,1966,2736,121
"Estonia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,1388,1619,161,1650,1971,164,1774,2169,165
"France","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1297,1302,143,NA,NA,NA,NA,NA,NA,1737,1871,111
"Germany","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1216,1258,147,1131,1163,131,1245,1301,128,1361,1381,129
"Greece","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",560,300,189,477,285,177,652,389,159,829,477,172
"Iceland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,1467,1773,150,NA,NA,NA,NA,NA,NA
"Italy","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1249,1173,158,NA,NA,NA,1334,1365,155,1609,1657,167
"Latvia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",309,156,165,475,273,166,453,412,151,661,463,151
"Lithuania","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,466,252,173,NA,NA,NA,NA,NA,NA
"Luxembourg","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1840,2216,165
"Macedonia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",787,803,97,747,796,96,772,860,83,849,932,90
"Norway","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,1686,2235,133,2140,3161,157,2238,3278,142
"Poland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",581,344,190,649,377,NA,660,395,168,941,526,181
"Portugal","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,654,531,167,857,710,168,851,693,170
"Romania","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",302,124,197,369,184,177,475,235,169,555,295,185
"Serbia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",444,193,166,463,315,172,607,406,160,689,467,174
"Slovenia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,1045,780,187,997,839,161,1233,1007,168
"Spain","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1022,871,183,1092,986,158,NA,NA,158,1641,1515,165
"Sweden","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1360,1701,157,1671,2014,163,1731,2142,169,2200,2762,172
"Switzerland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1814,2701,122
"Turkey","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",NA,NA,NA,659,379,204,NA,NA,NA,NA,NA,NA
"United Kingdom","Business economy","Skilled agricultural, forestry and fishery workers","Total","Females",1061,1218,121,NA,NA,NA,1224,1293,141,1523,1851,162
