"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2274,2269,163,2220,2334,152,2202,2430,149,2388,2527,150
"Belgium",2241,2244,165,2336,2532,152,2564,2846,149,2915,3168,157
"Bulgaria",454,184,181,709,270,173,968,429,164,1084,519,179
"Croatia",NA,NA,NA,NA,NA,NA,1636,1152,166,NA,NA,NA
"Cyprus",1618,1483,168,1096,1659,168,2612,2320,168,2229,2007,168
"Czech Rep.",896,463,167,1199,729,168,1337,968,168,1501,956,168
"Denmark",2377,3061,147,2495,3422,143,2927,3998,150,3113,4332,150
"Estonia",819,429,177,1029,658,169,1187,816,162,1448,1095,177
"Finland",1872,2221,161,2097,2445,159,2388,2852,158,2609,3191,159
"France",1879,1886,141,2030,2250,146,2116,2378,146,2325,2504,145
"Germany",2239,2316,150,2314,2379,145,2887,3016,147,2777,2818,145
"Greece",1338,1117,168,1714,1471,170,1841,1695,166,2007,1715,166
"Hungary",974,522,182,1145,684,179,1295,773,165,1512,870,168
"Iceland",1814,2375,154,2076,3112,161,2067,2208,159,2416,2852,159
"Ireland",2327,2744,152,2500,3022,159,2712,2999,155,2655,3246,144
"Italy",2118,1990,166,2080,2128,164,2342,2397,159,2401,2472,170
"Latvia",718,362,176,867,498,165,766,697,153,1149,806,165
"Lithuania",602,296,167,824,445,163,847,501,156,978,613,169
"Luxembourg",3011,3082,165,3084,3462,159,3069,3712,155,2960,3565,165
"Macedonia",NA,NA,NA,NA,NA,NA,1276,494,167,1177,548,181
"Malta",1822,1316,177,721,1159,162,1916,1401,160,1870,1512,164
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1499,832,174
"Netherlands",1862,1899,132,1815,1934,126,1987,2214,126,2087,2292,129
"Norway",2333,3408,151,2777,3683,152,2927,4323,150,3247,4755,150
"Poland",1031,610,185,1126,654,169,1325,792,164,1649,921,179
"Portugal",1730,1325,167,1767,1436,169,1755,1455,167,1951,1589,168
"Romania",518,213,185,676,337,173,957,474,166,985,524,178
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,670,183
"Slovakia",855,372,172,803,548,168,1267,848,160,1454,986,172
"Slovenia",1636,1124,161,1716,1281,175,1863,1567,165,2145,1751,177
"Spain",1916,1633,177,1877,1695,164,2032,1912,164,2223,2052,164
"Sweden",1896,2373,161,2269,2734,161,2475,3062,163,2886,3623,165
"Switzerland",NA,NA,NA,NA,NA,NA,3047,4370,148,3189,4747,148
"Turkey",NA,NA,NA,1221,703,196,1492,922,193,1509,902,194
"United Kingdom",2350,2699,145,2508,2831,149,2167,2290,146,2176,2644,150
