"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1206,1268,143,1044,1152,155,1345,1423,152
"Belgium",NA,NA,NA,1338,1450,140,1589,1764,136,1908,2074,137
"Bulgaria",243,99,172,332,127,169,570,253,157,558,267,159
"Croatia",NA,NA,NA,NA,NA,NA,1055,743,165,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",590,305,166,706,429,168,717,519,162,934,595,177
"Denmark",NA,NA,NA,2137,2931,143,2177,2974,130,2335,3250,134
"Estonia",NA,NA,NA,535,342,156,538,370,141,839,634,174
"Finland",NA,NA,NA,1443,1683,155,1663,1987,159,1722,2106,152
"France",NA,NA,NA,1359,1506,144,1402,1575,139,1477,1591,137
"Germany",NA,NA,NA,1507,1549,128,1408,1471,131,1467,1489,144
"Greece",NA,NA,NA,NA,NA,NA,1854,1706,178,1588,1357,171
"Hungary",535,287,180,543,324,165,666,398,160,798,459,166
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,1624,1963,121,1800,1991,148,1596,1951,105
"Italy",NA,NA,NA,1343,1374,157,1112,1138,129,1045,1076,130
"Latvia",NA,NA,NA,453,260,161,339,308,144,507,355,150
"Lithuania",376,185,168,499,270,163,NA,NA,NA,756,474,178
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,896,347,166,791,368,184
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1228,1252,122,902,962,92,1030,1147,99,1179,1295,94
"Norway",NA,NA,NA,1991,2640,135,2027,2994,134,2233,3271,135
"Poland",610,361,183,610,355,169,829,495,154,959,535,180
"Portugal",NA,NA,NA,801,651,163,812,673,164,836,681,169
"Romania",297,122,189,411,205,179,441,219,166,534,284,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,765,386,184
"Slovakia",496,216,177,423,289,157,712,477,150,783,531,164
"Slovenia",1127,774,141,1062,793,179,1201,1010,158,1191,972,172
"Spain",1166,994,167,1369,1237,161,1537,1446,152,1507,1391,156
"Sweden",NA,NA,NA,1407,1696,136,1675,2072,158,2100,2637,159
"Switzerland",NA,NA,NA,NA,NA,NA,1870,2682,121,1952,2907,107
"Turkey",NA,NA,NA,689,397,196,NA,NA,NA,688,411,193
"United Kingdom",1599,1836,133,2067,2332,149,1570,1660,135,1593,1936,148
