"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,945,994,123,996,1099,122,1093,1157,120
"Belgium",NA,NA,NA,1166,1264,121,1296,1438,117,1487,1616,119
"Bulgaria",181,73,178,264,101,167,399,177,160,469,225,175
"Croatia",NA,NA,NA,NA,NA,NA,831,585,161,NA,NA,NA
"Cyprus",NA,NA,NA,723,1095,165,1252,1112,164,1182,1065,165
"Czech Rep.",450,233,158,504,307,154,648,469,167,644,410,165
"Denmark",NA,NA,NA,1415,1940,117,1638,2237,117,1512,2104,107
"Estonia",NA,NA,NA,325,208,156,435,299,151,514,389,166
"Finland",NA,NA,NA,1384,1614,154,1510,1804,154,1598,1955,154
"France",NA,NA,NA,952,1055,110,931,1046,106,1089,1173,117
"Germany",NA,NA,NA,1063,1093,105,1013,1058,109,855,868,81
"Greece",NA,NA,NA,1493,1282,157,1275,1174,160,1050,897,153
"Hungary",419,225,180,549,328,168,587,351,158,660,380,161
"Iceland",NA,NA,NA,939,1409,124,963,1028,127,1111,1312,122
"Ireland",999,1178,104,1327,1604,112,1911,2113,135,1654,2022,119
"Italy",NA,NA,NA,1190,1217,135,1327,1358,142,1395,1436,150
"Latvia",NA,NA,NA,315,181,167,302,274,154,463,325,165
"Lithuania",274,135,169,352,190,165,400,237,156,487,306,168
"Luxembourg",NA,NA,NA,1667,1871,145,1722,2083,138,1804,2173,144
"Macedonia",NA,NA,NA,NA,NA,NA,722,280,167,624,290,182
"Malta",NA,NA,NA,471,757,164,945,691,131,1060,858,140
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,606,336,171
"Netherlands",990,1009,88,794,846,86,748,833,78,768,843,71
"Norway",NA,NA,NA,1310,1737,103,1670,2466,112,1631,2388,109
"Poland",511,302,182,594,345,164,691,413,159,891,497,173
"Portugal",NA,NA,NA,853,693,159,781,647,160,808,658,167
"Romania",231,95,183,331,165,172,353,175,162,430,229,177
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,584,294,182
"Slovakia",366,159,168,354,241,157,562,376,153,613,416,160
"Slovenia",860,591,157,849,634,174,982,826,158,1000,817,171
"Spain",958,816,156,1019,920,145,1075,1011,143,1080,997,143
"Sweden",NA,NA,NA,1150,1385,125,1310,1620,132,1490,1871,133
"Switzerland",NA,NA,NA,NA,NA,NA,1454,2086,115,1298,1933,85
"Turkey",NA,NA,NA,644,371,193,710,439,194,699,418,197
"United Kingdom",757,869,93,777,877,91,619,654,76,639,776,79
