"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,3148,3310,162,2983,3292,153,3760,3979,160
"Belgium",NA,NA,NA,3584,3886,143,4250,4719,151,4741,5153,149
"Bulgaria",496,201,183,835,318,174,1154,512,166,1352,647,180
"Croatia",NA,NA,NA,NA,NA,NA,2498,1759,168,NA,NA,NA
"Cyprus",NA,NA,NA,2874,4350,140,5835,5183,144,4209,3791,141
"Czech Rep.",1241,641,168,1440,876,158,1826,1322,172,2075,1322,170
"Denmark",NA,NA,NA,3309,4538,157,3981,5437,158,4130,5747,158
"Estonia",NA,NA,NA,1202,768,173,1636,1124,165,1755,1327,178
"Finland",NA,NA,NA,2751,3208,159,3333,3982,159,3652,4466,157
"France",NA,NA,NA,2996,3321,150,2934,3297,145,3289,3542,150
"Germany",NA,NA,NA,3136,3224,147,3421,3574,142,4945,5018,160
"Greece",NA,NA,NA,2655,2279,174,3401,3130,170,3123,2668,177
"Hungary",1196,641,186,1580,943,178,1726,1031,169,1918,1104,173
"Iceland",NA,NA,NA,2601,3900,164,2657,2838,174,3360,3966,179
"Ireland",3126,3685,141,3386,4093,157,3620,4002,155,3130,3827,124
"Italy",NA,NA,NA,4060,4154,145,4879,4993,154,4873,5015,158
"Latvia",NA,NA,NA,1161,667,171,969,881,161,1416,993,177
"Lithuania",819,403,186,1096,592,171,1410,834,164,1541,966,176
"Luxembourg",NA,NA,NA,4870,5466,169,4372,5289,148,4679,5634,166
"Macedonia",NA,NA,NA,NA,NA,NA,2177,843,168,1731,805,183
"Malta",NA,NA,NA,1047,1682,148,2253,1647,141,2864,2317,161
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1811,1005,176
"Netherlands",2428,2476,127,2391,2549,130,2881,3210,128,3421,3758,138
"Norway",NA,NA,NA,3404,4513,156,3464,5116,154,3934,5761,154
"Poland",1462,865,179,1813,1053,175,1940,1159,164,2411,1346,179
"Portugal",NA,NA,NA,3349,2721,159,3053,2531,160,2725,2219,158
"Romania",910,374,189,1674,836,181,1687,836,171,1863,990,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1659,837,183
"Slovakia",1040,452,176,961,655,163,1750,1171,160,1790,1214,166
"Slovenia",2991,2054,164,3155,2355,176,3176,2672,165,3468,2832,175
"Spain",2749,2343,163,3243,2929,164,3127,2942,157,3094,2856,154
"Sweden",NA,NA,NA,2901,3496,164,3196,3953,169,3813,4787,170
"Switzerland",NA,NA,NA,NA,NA,NA,4095,5873,143,3878,5774,137
"Turkey",NA,NA,NA,2516,1447,191,2668,1649,192,2701,1616,192
"United Kingdom",2987,3430,153,3221,3635,153,3081,3256,148,3184,3868,149
