"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1189,1250,172,903,996,130,1055,1116,132
"Belgium",NA,NA,NA,864,936,101,1627,1807,143,1811,1968,142
"Bulgaria",240,97,183,323,123,171,489,217,164,504,241,182
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,670,1014,165,NA,NA,NA,NA,NA,NA
"Czech Rep.",528,273,169,597,363,163,731,529,179,751,479,173
"Denmark",NA,NA,NA,1983,2719,145,1969,2689,127,1801,2506,114
"Estonia",NA,NA,NA,489,313,167,582,400,157,763,577,178
"Finland",NA,NA,NA,1362,1589,161,1455,1738,159,1557,1904,160
"France",NA,NA,NA,1377,1526,144,919,1033,127,1287,1386,132
"Germany",NA,NA,NA,1175,1208,118,1128,1178,127,1099,1115,118
"Greece",NA,NA,NA,NA,NA,NA,1276,1174,160,NA,NA,NA
"Hungary",519,278,181,625,373,171,680,406,161,729,419,164
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1258,1483,140,1453,1756,138,1413,1563,139,1379,1686,127
"Italy",NA,NA,NA,1253,1282,143,1385,1417,162,1373,1413,160
"Latvia",NA,NA,NA,412,237,171,326,296,149,786,551,159
"Lithuania",308,151,171,413,223,164,NA,NA,NA,636,399,176
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,848,328,168,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1205,1229,112,1107,1180,115,1036,1155,101,1059,1164,102
"Norway",NA,NA,NA,1791,2375,144,1804,2664,132,1974,2892,134
"Poland",660,390,181,587,341,166,627,375,161,785,438,174
"Portugal",NA,NA,NA,789,641,168,821,681,168,836,681,173
"Romania",296,122,187,444,222,179,501,248,170,620,329,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,636,321,183
"Slovakia",411,179,168,347,237,154,620,415,150,719,487,167
"Slovenia",863,593,159,1002,748,177,1195,1005,162,1125,919,172
"Spain",882,751,174,990,894,159,1119,1053,148,1184,1093,165
"Sweden",NA,NA,NA,1485,1789,156,1636,2023,157,1971,2475,162
"Switzerland",NA,NA,NA,NA,NA,NA,2066,2963,130,1864,2775,135
"Turkey",NA,NA,NA,553,318,196,NA,NA,NA,821,491,205
"United Kingdom",1325,1521,131,1331,1502,124,1271,1343,132,1212,1473,119
