"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,182,NA,NA,NA,NA,NA,NA,424,203,183
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",566,292,174,1324,805,176,791,572,170,895,570,172
"Denmark",2081,2680,151,1979,2714,134,2370,3236,142,2344,3261,129
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1315,1534,159,1590,1900,163,1684,2059,164
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",1550,1604,143,1080,1111,97,1349,1409,111,1254,1272,98
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",628,337,193,490,293,178,662,395,160,853,491,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",1260,1183,164,NA,NA,NA,1471,1506,157,NA,NA,NA
"Latvia",304,153,165,406,234,168,484,440,155,746,523,175
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,1059,1129,126,1114,1241,116,1162,1276,114
"Norway",1740,2541,136,1919,2544,146,2180,3220,156,2538,3717,156
"Poland",637,377,187,NA,NA,172,860,514,172,1054,589,186
"Portugal",NA,NA,NA,657,533,162,749,621,172,834,679,173
"Romania",335,138,204,396,198,177,475,235,170,567,301,185
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,783,524,161,889,603,168
"Slovenia",NA,NA,NA,959,716,176,956,804,158,1310,1070,161
"Spain",NA,NA,NA,1119,1011,158,NA,NA,NA,NA,NA,NA
"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey",NA,NA,NA,678,390,206,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
