"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2184,2179,160,2281,2398,158,2372,2618,152,2574,2724,156
"Belgium",2349,2352,169,2462,2669,159,2668,2962,156,2971,3229,160
"Bulgaria",411,166,182,638,243,176,822,365,165,994,476,181
"Croatia",NA,NA,NA,NA,NA,NA,1507,1061,165,NA,NA,NA
"Cyprus",1441,1321,166,1005,1522,167,2188,1943,166,2042,1840,167
"Czech Rep.",858,444,166,1153,701,167,1231,891,168,1438,916,168
"Denmark",2405,3097,156,2643,3626,156,3057,4175,155,3224,4486,156
"Estonia",765,401,176,952,608,168,1096,753,163,1343,1016,179
"Finland",1905,2259,163,2129,2483,162,2405,2873,161,2679,3276,163
"France",1960,1967,142,2155,2388,147,2234,2510,148,2392,2576,150
"Germany",2391,2474,149,2490,2560,146,2919,3050,146,3099,3145,149
"Greece",1375,1148,172,1670,1434,173,1919,1766,168,1717,1467,168
"Hungary",978,524,183,1103,658,181,1112,664,168,1451,835,170
"Iceland",1938,2537,160,2039,3057,158,2013,2150,160,2398,2830,164
"Ireland",2226,2624,156,2747,3321,170,2900,3206,162,3054,3734,166
"Italy",2179,2047,173,1897,1941,166,2086,2135,161,2251,2317,176
"Latvia",657,331,177,791,454,166,619,562,147,986,692,161
"Lithuania",632,311,173,827,447,170,858,507,162,953,598,164
"Luxembourg",2700,2763,170,2963,3326,160,2819,3410,154,2899,3491,163
"Macedonia",NA,NA,NA,NA,NA,NA,1119,433,167,1300,605,182
"Malta",1922,1388,212,745,1198,174,1829,1337,174,1981,1603,181
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,846,181
"Netherlands",2111,2153,138,1934,2061,131,2169,2417,136,2423,2661,139
"Norway",2478,3620,154,3009,3990,154,3310,4889,156,3763,5512,157
"Poland",972,575,186,1098,638,171,1250,747,166,1598,892,181
"Portugal",1350,1034,169,1498,1218,171,1499,1242,170,1499,1221,172
"Romania",487,200,186,695,347,176,953,472,168,1034,549,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1230,621,186
"Slovakia",765,332,172,783,534,168,1177,788,160,1375,933,173
"Slovenia",1574,1081,167,1691,1262,176,1813,1525,165,2123,1734,178
"Spain",1869,1593,179,1881,1698,165,2062,1940,168,2245,2073,167
"Sweden",1908,2388,164,2293,2763,165,2535,3135,167,2966,3724,170
"Switzerland",NA,NA,NA,NA,NA,NA,3247,4657,156,3146,4683,153
"Turkey",NA,NA,NA,1000,575,198,1322,817,195,1359,813,197
"United Kingdom",2353,2702,151,2421,2732,155,2281,2410,154,2358,2865,157
