"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1533,1529,153,1602,1685,147,1707,1884,143,1979,2094,146
"Belgium",1987,1990,164,2083,2258,154,2349,2608,149,2819,3064,158
"Bulgaria",295,120,182,424,162,175,587,261,165,688,329,181
"Croatia",NA,NA,NA,NA,NA,NA,1141,804,168,NA,NA,NA
"Cyprus",999,915,170,766,1160,168,1438,1278,168,1387,1249,168
"Czech Rep.",695,359,165,920,560,168,985,713,169,1154,735,168
"Denmark",2047,2636,140,2243,3077,139,2706,3695,138,2927,4073,140
"Estonia",624,327,182,762,487,172,905,622,165,1128,853,180
"Finland",1714,2032,164,2054,2395,163,2344,2800,161,2594,3172,162
"France",1761,1767,139,1902,2108,148,2024,2274,149,2315,2493,151
"Germany",1833,1896,141,1882,1935,136,1970,2058,135,2268,2301,135
"Greece",1217,1016,171,1483,1273,172,1709,1573,165,1543,1318,165
"Hungary",725,389,183,844,504,180,1004,600,164,1137,654,169
"Iceland",1169,1531,142,1420,2130,144,1591,1699,158,2033,2400,161
"Ireland",1750,2063,148,2137,2583,158,2607,2883,156,2701,3302,165
"Italy",1505,1414,167,1580,1617,162,1802,1844,158,1982,2040,171
"Latvia",498,251,174,643,370,168,514,467,149,855,600,160
"Lithuania",557,274,174,700,378,169,757,448,161,929,583,174
"Luxembourg",2042,2090,160,2085,2340,152,2250,2722,151,2396,2885,163
"Macedonia",NA,NA,NA,NA,NA,NA,899,348,168,877,408,181
"Malta",1453,1049,193,651,1047,182,1794,1312,184,1673,1353,174
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1470,815,181
"Netherlands",1719,1753,132,1539,1640,121,1716,1912,123,1938,2128,124
"Norway",2022,2953,145,2525,3348,146,2882,4257,149,3346,4901,150
"Poland",813,481,187,917,533,173,1102,659,167,1436,802,182
"Portugal",776,594,168,852,692,172,965,800,172,1008,821,173
"Romania",365,150,188,499,249,179,743,368,171,811,431,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,940,474,184
"Slovakia",618,268,172,615,419,169,930,622,162,1116,757,172
"Slovenia",1112,764,162,1242,927,177,1435,1207,163,1692,1382,176
"Spain",1404,1197,176,1508,1362,163,1728,1625,164,1896,1750,162
"Sweden",1714,2144,160,2080,2506,161,2374,2937,163,2868,3602,167
"Switzerland",NA,NA,NA,NA,NA,NA,2365,3392,151,2820,4198,145
"Turkey",NA,NA,NA,829,477,200,955,590,199,1007,602,200
"United Kingdom",1951,2241,151,2197,2479,153,2022,2136,151,2110,2563,153
