"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,952,1001,121,956,1055,119,1077,1139,119
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1176,1275,120,1251,1389,114,1510,1642,119
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",206,83,177,292,111,169,399,177,153,469,225,173
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,NA,NA,NA,798,562,164,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,659,998,170,1110,986,167,1069,963,164
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",483,250,159,589,358,159,674,488,164,722,460,164
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1185,1625,93,1381,1885,95,1219,1697,83
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,384,246,149,502,345,146,636,481,156
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1364,1591,152,1465,1750,151,1572,1923,154
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,973,1079,111,971,1091,107,1179,1270,118
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1003,1031,101,879,918,97,704,714,72
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1305,1120,162,1167,1075,152,987,843,148
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",454,243,175,531,317,166,586,350,153,710,408,156
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1063,1593,140,1061,1133,139,1379,1627,146
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",1009,1190,112,1259,1522,120,1572,1739,129,1421,1738,118
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,959,981,123,1131,1158,132,1211,1246,138
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,361,207,163,331,301,148,515,362,154
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",296,146,165,401,217,161,434,257,149,527,331,157
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1217,1366,123,1269,1535,124,1413,1702,132
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,NA,NA,NA,762,295,167,611,284,179
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,418,672,146,1025,750,150,957,774,134
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,681,378,171
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",852,869,87,698,744,81,721,804,78,709,778,71
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,1325,1756,103,1502,2218,106,1579,2313,107
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",535,317,184,582,338,164,694,415,159,895,500,174
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,751,611,161,683,566,148,717,584,151
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",238,98,187,330,165,177,443,219,169,522,278,182
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,654,330,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",401,174,165,386,263,158,597,399,153,681,462,163
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",784,539,159,810,605,176,946,796,160,1036,846,171
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",783,668,134,927,837,135,942,887,127,972,897,123
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",1230,1539,142,1245,1500,133,1367,1691,136,1530,1921,134
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,NA,NA,NA,1344,1927,116,1423,2118,95
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",NA,NA,NA,629,362,199,720,445,200,736,440,198
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","Total","Females",929,1067,108,964,1087,108,757,800,95,781,949,99
