"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1363,1433,155,1439,1589,153,1708,1807,158
"Belgium",NA,NA,NA,1607,1742,148,1888,2095,147,2233,2427,154
"Bulgaria",261,106,183,377,144,176,514,228,167,606,290,182
"Croatia",NA,NA,NA,NA,NA,NA,815,574,169,NA,NA,NA
"Cyprus",NA,NA,NA,716,1083,166,1272,1130,171,1184,1066,167
"Czech Rep.",619,320,166,791,481,169,834,604,170,976,622,170
"Denmark",NA,NA,NA,1890,2592,130,2216,3026,129,2213,3079,129
"Estonia",NA,NA,NA,685,438,175,780,536,168,985,745,183
"Finland",NA,NA,NA,1752,2043,165,1937,2314,163,2113,2585,164
"France",NA,NA,NA,1450,1607,147,1466,1648,145,1577,1699,139
"Germany",NA,NA,NA,1561,1605,135,1557,1626,137,1793,1819,141
"Greece",NA,NA,NA,1712,1469,173,1442,1327,165,1315,1124,165
"Hungary",584,313,185,666,397,183,760,454,165,866,498,168
"Iceland",NA,NA,NA,1481,2220,168,1555,1660,NA,1745,2059,166
"Ireland",1341,1581,150,1677,2027,153,1924,2128,155,2142,2619,155
"Italy",NA,NA,NA,1397,1430,159,1268,1298,143,1293,1331,145
"Latvia",NA,NA,NA,543,312,171,446,405,151,714,501,160
"Lithuania",480,236,175,592,320,171,641,379,163,818,513,179
"Luxembourg",NA,NA,NA,1603,1800,156,1738,2103,157,1880,2264,166
"Macedonia",NA,NA,NA,NA,NA,NA,636,246,167,602,280,181
"Malta",NA,NA,NA,645,1037,187,1770,1295,191,1515,1225,170
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,985,547,185
"Netherlands",1268,1293,124,1136,1211,116,1163,1295,109,1257,1381,110
"Norway",NA,NA,NA,2148,2848,149,2238,3305,149,2472,3620,148
"Poland",625,370,187,684,398,176,851,509,170,1105,617,185
"Portugal",NA,NA,NA,653,530,173,748,620,173,816,665,174
"Romania",321,132,189,437,218,180,628,311,173,702,373,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,723,365,183
"Slovakia",534,232,172,512,349,170,767,513,163,911,618,172
"Slovenia",866,595,160,925,691,178,1063,894,162,1229,1004,175
"Spain",1172,999,178,1259,1137,164,1407,1324,166,1490,1376,161
"Sweden",1523,1905,162,1784,2150,162,2003,2478,163,2329,2924,166
"Switzerland",NA,NA,NA,NA,NA,NA,2055,2947,151,2237,3331,145
"Turkey",NA,NA,NA,665,382,202,782,483,200,778,465,201
"United Kingdom",1520,1745,155,1658,1872,157,1502,1587,155,1518,1844,156
