"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",823,821,113,801,842,109,845,933,112,992,1049,115
"Belgium",1141,1143,124,1121,1216,114,1175,1304,108,1466,1593,115
"Bulgaria",197,80,172,282,107,161,357,159,139,433,207,162
"Croatia",NA,NA,NA,NA,NA,NA,761,536,165,NA,NA,NA
"Cyprus",912,836,157,652,986,171,1072,952,166,1036,933,162
"Czech Rep.",479,248,158,603,367,161,665,481,160,690,439,161
"Denmark",927,1193,78,972,1333,76,1141,1559,78,1029,1431,69
"Estonia",288,151,149,353,225,130,484,332,133,555,420,136
"Finland",989,1173,131,1249,1457,146,1384,1654,148,1523,1862,153
"France",929,932,103,947,1049,109,908,1021,101,1185,1276,113
"Germany",740,766,81,790,812,87,764,799,89,619,628,68
"Greece",NA,NA,NA,1276,1095,158,1124,1034,148,917,783,143
"Hungary",465,249,166,506,302,162,576,344,148,711,409,150
"Iceland",1026,1343,147,1109,1662,139,1193,1275,145,1385,1634,149
"Ireland",795,937,102,1189,1438,116,1219,1348,121,1240,1516,112
"Italy",910,855,126,892,912,118,943,965,119,911,938,117
"Latvia",318,160,169,374,215,157,344,312,139,541,379,141
"Lithuania",292,144,153,392,212,154,425,251,138,482,302,141
"Luxembourg",1100,1126,130,1020,1145,113,1102,1333,119,1274,1534,128
"Macedonia",NA,NA,NA,NA,NA,NA,793,307,166,592,275,176
"Malta",968,699,159,365,586,133,969,709,151,877,710,126
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,742,412,167
"Netherlands",737,752,80,626,667,76,660,735,73,636,699,67
"Norway",1293,1888,106,1267,1680,100,1367,2019,102,1514,2217,105
"Poland",530,313,185,518,301,160,620,371,152,809,452,169
"Portugal",660,505,133,660,536,158,604,501,135,637,519,136
"Romania",237,98,185,311,156,173,417,207,164,455,242,172
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,723,365,183
"Slovakia",374,163,157,378,257,155,575,385,152,706,479,164
"Slovenia",694,476,160,755,563,175,879,739,160,985,804,168
"Spain",730,623,127,893,807,131,900,846,122,929,857,117
"Sweden",1170,1464,139,1246,1501,134,1366,1690,137,1516,1904,132
"Switzerland",NA,NA,NA,NA,NA,NA,1101,1579,99,1128,1680,78
"Turkey",NA,NA,NA,593,341,196,707,437,199,721,431,195
"United Kingdom",990,1137,113,1190,1343,128,797,842,104,818,994,106
