"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1027,1025,135,1066,1121,133,1128,1245,129,1236,1308,123
"Belgium",1302,1304,134,1298,1407,127,1425,1582,125,1556,1691,124
"Bulgaria",193,78,178,294,112,166,464,206,157,556,266,176
"Croatia",NA,NA,NA,NA,NA,NA,977,688,169,NA,NA,NA
"Cyprus",1001,917,169,690,1044,169,1226,1089,168,1148,1034,165
"Czech Rep.",548,283,164,666,405,166,767,555,166,862,549,164
"Denmark",987,1271,90,1128,1547,94,1255,1714,90,1129,1572,79
"Estonia",430,225,179,624,398,171,701,482,162,830,628,172
"Finland",1097,1301,128,1202,1402,126,1420,1697,130,1521,1860,131
"France",1229,1233,126,1316,1458,136,1360,1528,135,1578,1699,137
"Germany",1244,1287,123,1174,1207,114,1215,1269,116,1301,1321,112
"Greece",909,758,159,1217,1045,165,1148,1057,148,1044,892,142
"Hungary",505,271,178,570,341,175,737,440,157,1059,610,170
"Iceland",824,1079,114,1050,1574,116,1114,1190,124,1128,1331,109
"Ireland",910,1072,105,1152,1392,123,1420,1570,128,1385,1694,117
"Italy",1233,1158,144,1242,1270,134,1325,1355,142,1332,1371,142
"Latvia",306,154,169,456,262,169,394,358,148,628,440,155
"Lithuania",363,179,173,491,265,168,537,318,158,674,423,173
"Luxembourg",1469,1504,158,1368,1536,145,1505,1820,144,1729,2083,157
"Macedonia",NA,NA,NA,NA,NA,NA,778,301,165,617,287,178
"Malta",817,590,125,NA,NA,NA,978,715,130,1115,902,130
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,749,415,178
"Netherlands",968,987,99,840,896,95,842,938,87,870,956,84
"Norway",1116,1630,101,1261,1672,98,1245,1838,93,1344,1968,93
"Poland",549,324,187,567,330,166,756,452,162,937,523,174
"Portugal",772,591,167,800,650,164,835,692,154,881,717,153
"Romania",233,96,184,356,178,176,499,247,165,553,294,176
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,689,348,182
"Slovakia",654,284,172,469,320,167,709,474,160,863,585,168
"Slovenia",954,655,159,1016,758,177,1118,940,163,1177,961,170
"Spain",1142,973,159,1099,993,147,1160,1091,145,1177,1086,138
"Sweden",1097,1373,116,1369,1650,126,1465,1812,123,1618,2032,119
"Switzerland",NA,NA,NA,NA,NA,NA,1506,2160,119,1749,2603,112
"Turkey",NA,NA,NA,724,416,197,837,517,197,801,479,193
"United Kingdom",838,962,103,892,1007,104,898,949,104,907,1102,106
