"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1215,1212,155,1266,1332,148,1337,1476,147,1615,1709,151
"Belgium",NA,NA,NA,1443,1564,140,1844,2047,146,2157,2345,151
"Bulgaria",259,105,182,370,141,172,616,274,166,794,380,180
"Croatia",NA,NA,NA,NA,NA,NA,999,703,167,NA,NA,NA
"Cyprus",991,908,167,816,1234,163,1448,1286,174,1135,1023,169
"Czech Rep.",731,378,173,811,493,171,808,585,169,919,585,170
"Denmark",1500,1931,117,1602,2197,116,2097,2864,130,1942,2702,124
"Estonia",505,265,183,764,488,175,864,594,162,1019,770,179
"Finland",1409,1671,160,1636,1908,162,1920,2293,162,2004,2451,163
"France",1515,1520,133,1453,1610,144,1457,1638,139,1514,1630,129
"Germany",1146,1186,116,1228,1263,115,1316,1375,128,1419,1441,126
"Greece",1035,864,167,1977,1697,169,1503,1384,161,1348,1152,160
"Hungary",556,298,180,646,386,180,771,460,164,833,479,163
"Iceland",NA,NA,NA,NA,NA,NA,1660,1773,176,1613,1903,169
"Ireland",1284,1514,144,1817,2196,153,1705,1886,153,1935,2367,132
"Italy",1151,1081,139,1719,1759,137,951,973,117,932,959,114
"Latvia",405,204,168,614,353,174,561,509,155,805,564,162
"Lithuania",520,256,175,632,342,169,776,459,165,943,592,180
"Luxembourg",1457,1491,147,NA,NA,NA,NA,NA,NA,1796,2163,153
"Macedonia",NA,NA,NA,NA,NA,NA,848,328,164,617,287,180
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1366,1105,160
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",969,988,108,1044,1112,109,1098,1223,104,1180,1296,105
"Norway",1708,2495,139,2016,2672,142,2128,3142,141,2299,3368,141
"Poland",690,408,187,714,415,175,897,536,169,1165,651,185
"Portugal",741,567,163,755,613,175,830,688,173,914,745,172
"Romania",379,156,185,486,243,178,707,350,168,630,335,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,758,382,181
"Slovakia",596,259,170,565,385,171,733,490,164,809,548,169
"Slovenia",942,647,162,985,735,180,1201,1011,164,1297,1059,174
"Spain",1189,1013,175,1192,1076,160,1453,1367,167,1528,1411,159
"Sweden",1397,1748,155,1702,2051,162,1947,2408,164,2226,2795,166
"Switzerland",NA,NA,NA,NA,NA,NA,1851,2655,133,1910,2843,126
"Turkey",NA,NA,NA,856,492,205,1269,784,195,939,561,193
"United Kingdom",1515,1739,150,1651,1863,152,1473,1556,147,1517,1843,151
