"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Professionals","60 years or over","Males",4654,4644,166,5094,5357,156,4306,4752,139,4325,4577,127
"Belgium","Business economy","Professionals","60 years or over","Males",4170,4176,164,4741,5140,163,4729,5250,148,5803,6307,164
"Bulgaria","Business economy","Professionals","60 years or over","Males",594,241,179,914,348,172,1178,523,157,1316,630,171
"Croatia","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,2987,2104,166,NA,NA,NA
"Cyprus","Business economy","Professionals","60 years or over","Males",3204,2936,166,2691,4072,169,4037,3586,171,3496,3149,168
"Czech Rep.","Business economy","Professionals","60 years or over","Males",1334,690,158,1906,1159,162,2053,1486,157,2508,1598,161
"Denmark","Business economy","Professionals","60 years or over","Males",3590,4623,153,3878,5320,152,4466,6099,149,4726,6575,149
"Estonia","Business economy","Professionals","60 years or over","Males",1018,533,165,1212,774,165,1468,1009,156,1801,1362,171
"Finland","Business economy","Professionals","60 years or over","Males",2705,3208,148,3082,3594,148,3604,4306,150,3830,4685,156
"France","Business economy","Professionals","60 years or over","Males",5254,5272,142,5183,5744,161,4624,5197,154,5548,5975,157
"Germany","Business economy","Professionals","60 years or over","Males",4542,4700,154,4731,4864,135,4652,4859,138,4974,5048,142
"Greece","Business economy","Professionals","60 years or over","Males",3854,3217,174,3935,3377,177,4447,4092,167,3613,3087,165
"Hungary","Business economy","Professionals","60 years or over","Males",1677,899,170,1950,1164,165,2442,1459,148,2624,1510,160
"Iceland","Business economy","Professionals","60 years or over","Males",2905,3803,143,3458,5184,172,3254,3475,165,3504,4135,163
"Ireland","Business economy","Professionals","60 years or over","Males",3055,3601,138,5003,6047,166,4474,4947,156,4304,5263,159
"Italy","Business economy","Professionals","60 years or over","Males",NA,NA,131,4076,4171,172,5156,5277,162,4611,4746,172
"Latvia","Business economy","Professionals","60 years or over","Males",732,369,167,970,557,153,911,828,149,1439,1009,148
"Lithuania","Business economy","Professionals","60 years or over","Males",811,399,157,996,538,152,918,543,125,1289,808,161
"Luxembourg","Business economy","Professionals","60 years or over","Males",5787,5923,174,6139,6891,167,4660,5637,164,4311,5192,147
"Macedonia","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,1894,734,168,2114,983,183
"Malta","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,1039,760,97,2654,2146,170
"Montenegro","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2276,1262,176
"Netherlands","Business economy","Professionals","60 years or over","Males",3695,3768,147,3108,3312,126,3503,3903,133,4228,4644,149
"Norway","Business economy","Professionals","60 years or over","Males",3512,5130,155,4441,5888,156,4393,6488,153,5044,7387,153
"Poland","Business economy","Professionals","60 years or over","Males",1773,1048,181,1689,981,148,2200,1315,157,2723,1521,175
"Portugal","Business economy","Professionals","60 years or over","Males",1882,1441,148,3391,2755,149,3528,2925,157,3821,3113,159
"Romania","Business economy","Professionals","60 years or over","Males",825,339,182,1059,529,157,1431,709,144,1685,895,170
"Serbia","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1015,185
"Slovakia","Business economy","Professionals","60 years or over","Males",1165,506,159,1142,779,157,1635,1094,142,2029,1376,164
"Slovenia","Business economy","Professionals","60 years or over","Males",3676,2525,181,3571,2665,175,3676,3093,165,3826,3124,178
"Spain","Business economy","Professionals","60 years or over","Males",4646,3960,164,3861,3487,151,3246,3054,129,3496,3227,144
"Sweden","Business economy","Professionals","60 years or over","Males",2980,3730,163,3472,4184,164,3799,4699,168,4367,5484,168
"Switzerland","Business economy","Professionals","60 years or over","Males",NA,NA,NA,NA,NA,NA,5435,7795,163,5499,8187,158
"Turkey","Business economy","Professionals","60 years or over","Males",NA,NA,NA,2651,1525,188,NA,NA,NA,2522,1509,169
"United Kingdom","Business economy","Professionals","60 years or over","Males",3497,4016,149,3618,4083,150,3626,3832,153,3495,4246,153
