"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3536,3528,136,3205,3370,133,2934,3238,120,3540,3746,138
"Belgium",3110,3114,166,3005,3257,152,3858,4283,152,4333,4710,165
"Bulgaria",477,193,177,631,241,169,873,387,159,1059,507,174
"Croatia",NA,NA,NA,NA,NA,NA,2088,1471,170,NA,NA,NA
"Cyprus",1678,1538,164,1589,2404,164,2967,2635,168,2465,2220,169
"Czech Rep.",1069,553,161,1398,850,165,1693,1225,166,1836,1169,168
"Denmark",2476,3189,127,3238,4441,152,3679,5025,151,3836,5338,151
"Estonia",860,450,173,1144,731,165,1281,880,165,1687,1276,176
"Finland",2147,2546,153,2441,2846,149,2780,3321,153,3022,3696,156
"France",2400,2408,129,2977,3299,150,2841,3192,143,3241,3490,148
"Germany",3338,3454,146,3495,3594,127,3796,3965,137,3865,3923,141
"Greece",1833,1530,151,3068,2634,177,3058,2814,172,3869,3305,161
"Hungary",994,533,170,1059,632,160,1264,755,152,1602,921,160
"Iceland",2565,3358,184,3352,5026,190,2314,2471,162,3402,4015,178
"Ireland",4366,5148,164,3610,4364,165,3786,4186,163,3371,4122,154
"Italy",3983,3742,171,3818,3907,169,3687,3773,165,3537,3640,179
"Latvia",703,355,169,803,461,159,770,700,153,1098,770,149
"Lithuania",781,385,168,831,449,154,1206,713,160,906,568,145
"Luxembourg",NA,NA,NA,3572,4010,147,3440,4162,138,3495,4209,163
"Macedonia",NA,NA,NA,NA,NA,NA,1646,638,169,1224,569,184
"Malta",917,662,95,737,1184,139,2380,1740,194,1901,1537,152
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,1090,179
"Netherlands",NA,NA,NA,2769,2951,137,3222,3589,150,3442,3780,147
"Norway",2865,4184,157,3575,4740,159,3770,5568,155,4205,6159,154
"Poland",1246,737,183,1160,674,147,1535,917,154,1893,1057,174
"Portugal",2021,1547,168,2457,1996,167,2206,1829,169,2439,1987,168
"Romania",571,235,187,622,311,156,1237,613,159,1137,604,175
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1508,761,184
"Slovakia",964,419,172,904,616,160,1416,948,152,1499,1016,159
"Slovenia",2327,1598,172,2574,1921,177,2322,1953,165,2547,2080,176
"Spain",3042,2593,176,2689,2429,145,2230,2098,117,2655,2451,140
"Sweden",2322,2906,165,2744,3306,166,2959,3661,167,3349,4204,167
"Switzerland",NA,NA,NA,NA,NA,NA,4185,6002,161,4857,7231,165
"Turkey",NA,NA,NA,1673,962,197,2057,1271,178,1585,948,165
"United Kingdom",2915,3348,156,3171,3578,157,2894,3058,162,2806,3409,161
