"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,2432,2557,128,1648,1819,135,2443,2586,150
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1939,2102,142,1625,1804,117,2126,2311,131
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",255,103,175,376,143,167,544,241,164,642,307,177
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1236,871,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",676,349,162,893,543,171,973,704,169,1078,687,172
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,2302,3157,146,2649,3618,141,2690,3743,141
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,467,298,159,693,476,158,766,579,161
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1575,1836,139,1805,2157,150,1942,2375,153
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1903,2139,152,2025,2181,150
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1939,1994,120,1938,2024,122,2441,2477,136
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1837,1577,190,1769,1628,170,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Males",528,283,177,741,442,166,807,482,145,861,495,169
