"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,735,773,84,1188,1311,109,896,949,89
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1210,1312,115,1621,1800,125,1731,1882,140
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",193,78,171,277,106,162,446,198,161,516,247,177
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,1142,805,167,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1052,1593,163,1882,1672,167,1573,1417,157
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",492,254,153,592,360,152,748,542,162,751,478,160
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1897,2602,137,2055,2806,125,1877,2612,117
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,328,209,153,453,311,141,545,412,161
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1357,1582,140,1431,1710,154,1420,1737,143
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1438,1594,131,1023,1149,106,1494,1609,125
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1860,1912,106,1000,1044,94,859,872,76
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1916,1644,173,1334,1227,165,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",462,247,172,605,361,156,667,399,141,700,403,157
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,845,903,113,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",1372,1617,135,1881,2274,138,2287,2529,143,2518,3079,134
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1753,1794,119,1759,1800,158,1485,1529,157
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,342,197,168,332,301,159,497,348,164
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",277,136,156,378,204,162,NA,NA,NA,548,344,176
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,789,306,168,707,329,181
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,1302,952,174,1432,1158,161
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",1251,1275,93,1185,1263,99,1457,1623,126,1658,1821,140
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,1768,2344,132,2206,3258,127,1930,2826,125
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",577,341,185,520,302,132,717,428,142,951,531,166
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,967,786,156,870,721,153,844,687,163
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",279,115,187,328,164,166,361,179,167,413,220,174
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,676,341,183
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",431,188,167,394,269,157,650,435,153,694,471,160
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Males",NA,NA,NA,NA,NA,NA,1168,983,167,1109,906,170
