"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,1452,1527,152,NA,NA,NA,450,476,44
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,1004,1088,103,NA,NA,NA,NA,NA,NA
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",239,97,180,352,134,171,487,216,159,602,288,175
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1389,978,169,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1844,1637,168,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",703,364,169,845,514,164,1030,745,176,1077,686,175
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,3016,4136,233,2222,3035,120,2045,2845,109
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,560,358,164,683,469,165,763,577,173
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,1552,1810,144,1560,1863,148,1925,2354,153
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1122,1261,115,1014,1093,92
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,1072,1102,87,714,746,72,624,633,63
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",575,308,183,746,446,170,891,532,164,894,514,172
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,1552,1877,129,1835,2028,132,NA,NA,NA
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,2081,2129,146,1667,1706,142,1388,1429,140
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,472,271,173,468,425,166,744,522,175
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",447,220,176,598,323,173,NA,NA,NA,799,501,180
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
