"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1205,1267,94,1515,1672,122,1351,1430,97
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1790,1940,122,NA,NA,NA,1727,1878,105
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",202,82,178,315,120,169,450,200,162,488,234,169
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1729,1218,163,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1842,1636,191,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",611,316,152,768,467,167,877,635,168,936,596,168
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1773,2432,122,2146,2931,127,2128,2960,126
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,511,351,148,644,487,166
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1555,1813,142,1743,2083,150,1889,2310,152
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1295,1435,112,1391,1563,126,1908,2055,128
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1567,1611,107,2324,2428,114,1237,1255,93
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1734,1489,165,1755,1616,181,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",534,286,172,687,410,158,921,550,156,885,509,164
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1940,2908,192,1606,1716,171,1595,1882,145
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1885,2278,NA,2144,2370,147,1897,2319,109
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,1564,1600,127,1999,2046,155,1948,2005,169
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Males",NA,NA,NA,416,239,164,391,355,148,658,462,147
