"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",492,254,153,NA,NA,NA,853,617,170,983,626,175
"Denmark",NA,NA,NA,2185,2997,142,2448,3343,138,2479,3450,141
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1667,1944,145,1971,2355,NA,NA,NA,NA
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",NA,NA,NA,1022,1051,83,1019,1065,81,1494,1516,96
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",NA,NA,153,NA,NA,162,678,405,148,801,461,164
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,1893,2092,132,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",NA,NA,NA,NA,NA,NA,2479,3661,155,2608,3819,147
"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1084,605,178
"Portugal",NA,NA,NA,751,610,148,867,719,172,NA,NA,NA
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,417,284,159,NA,NA,NA,546,370,134
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",1364,1163,181,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweden",NA,NA,NA,1658,1998,164,1755,2171,163,2218,2785,171
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,2111,64
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,141,1609,1815,146,1390,1469,136,1275,1549,133
