"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1973,2075,139,1296,1430,122,1317,1394,90
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1275,1382,114,1570,1742,118,1908,2074,123
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",244,99,178,359,137,170,502,223,160,610,292,176
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1275,898,169,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1984,1762,167,2153,1939,167
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",683,353,165,861,524,167,993,719,172,1072,683,173
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,2532,3473,177,2507,3424,136,2528,3517,136
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,499,319,161,687,472,164,748,565,163
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1580,1843,141,1783,2130,150,1952,2388,154
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1490,1652,133,1728,1942,146,1874,2019,142
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1370,1409,97,1157,1209,90,1038,1053,80
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",NA,NA,NA,1790,1537,187,1863,1714,168,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Males",547,293,178,735,438,168,821,490,151,873,502,170
