"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1947,1943,103,2063,2169,108,1935,2135,96,2180,2307,112
"Belgium",2912,2916,158,2770,3002,150,3152,3499,148,3339,3630,162
"Bulgaria",312,126,175,465,177,170,633,281,155,695,333,175
"Croatia",NA,NA,NA,NA,NA,NA,1710,1204,170,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,2173,1930,NA,NA,NA,NA
"Czech Rep.",679,351,147,951,579,164,1144,828,167,1369,872,160
"Denmark",2287,2945,142,2589,3551,148,2777,3793,138,2698,3755,135
"Estonia",728,381,178,773,494,168,995,684,168,1287,973,179
"Finland",1686,1999,144,2297,2679,156,2177,2601,152,2383,2915,164
"France",NA,NA,NA,NA,NA,NA,2258,2538,148,2315,2493,127
"Germany",2579,2669,128,2806,2884,114,1720,1796,95,2828,2869,134
"Greece",2053,1713,171,2501,2146,189,2730,2512,163,1603,1369,168
"Hungary",704,377,165,705,421,160,1096,655,142,1081,622,161
"Iceland",NA,NA,NA,2392,3587,NA,NA,NA,NA,2414,2848,154
"Ireland",2529,2981,152,2578,3117,162,2936,3246,158,NA,NA,NA
"Italy",2743,2576,174,2877,2944,175,2550,2610,166,2980,3067,174
"Latvia",472,238,147,564,324,161,677,615,162,1033,725,176
"Lithuania",530,261,150,869,469,156,1093,646,167,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1467,568,168,1054,490,183
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",2355,2402,146,2217,2363,143,2453,2733,145,2954,3244,158
"Norway",2232,3260,154,2674,3545,154,2822,4168,151,3116,4564,151
"Poland",929,549,183,981,570,159,1309,782,160,1582,883,179
"Portugal",979,750,169,1183,961,170,1452,1204,170,1272,1036,144
"Romania",NA,NA,NA,592,296,176,838,415,164,977,519,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1204,607,187
"Slovakia",486,211,174,725,494,162,1009,675,158,1196,811,172
"Slovenia",NA,NA,NA,1394,1040,175,1492,1255,157,2353,1922,176
"Spain",1752,1493,169,1850,1670,138,1663,1565,110,1865,1722,126
"Sweden",1655,2072,162,2091,2519,166,2228,2756,168,2572,3229,169
"Switzerland",NA,NA,NA,NA,NA,NA,3587,5144,166,4001,5956,166
"Turkey",NA,NA,NA,NA,NA,193,NA,NA,NA,1662,994,186
"United Kingdom",1928,2214,159,2466,2783,158,2164,2287,157,1963,2384,153
