"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Craft and related trades workers","60 years or over","Males",2008,2003,154,1736,1826,131,1982,2187,139,2341,2477,149
"Belgium","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1937,2100,144,2367,2628,148,2684,2917,163
"Bulgaria","Industry and construction","Craft and related trades workers","60 years or over","Males",369,150,181,515,196,173,707,314,163,872,417,180
"Croatia","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1254,883,171,NA,NA,NA
"Cyprus","Industry and construction","Craft and related trades workers","60 years or over","Males",1643,1505,NA,1232,1866,167,2228,1979,NA,2038,1836,167
"Czech Rep.","Industry and construction","Craft and related trades workers","60 years or over","Males",762,394,166,1044,635,172,1108,802,172,1284,818,172
"Denmark","Industry and construction","Craft and related trades workers","60 years or over","Males",2051,2641,124,2251,3087,128,2484,3393,121,2555,3555,123
"Estonia","Industry and construction","Craft and related trades workers","60 years or over","Males",654,342,182,832,531,173,999,686,165,1257,951,179
"Finland","Industry and construction","Craft and related trades workers","60 years or over","Males",1709,2027,157,2141,2497,160,2325,2778,161,2528,3092,160
"France","Industry and construction","Craft and related trades workers","60 years or over","Males",1721,1726,132,1813,2009,149,1855,2085,138,2279,2454,148
"Germany","Industry and construction","Craft and related trades workers","60 years or over","Males",2436,2521,156,2249,2312,130,2138,2234,126,2681,2721,145
"Greece","Industry and construction","Craft and related trades workers","60 years or over","Males",1744,1456,173,2505,2150,183,NA,NA,NA,1805,1542,162
"Hungary","Industry and construction","Craft and related trades workers","60 years or over","Males",809,434,174,755,450,165,907,542,150,1124,647,165
"Iceland","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,2116,3172,NA,2098,2241,NA,2489,2938,184
"Ireland","Industry and construction","Craft and related trades workers","60 years or over","Males",2464,2905,155,3418,4132,180,2896,3202,170,3045,3723,165
"Italy","Industry and construction","Craft and related trades workers","60 years or over","Males",1730,1625,176,1673,1712,152,1828,1870,163,2246,2312,173
"Latvia","Industry and construction","Craft and related trades workers","60 years or over","Males",585,295,178,693,398,170,583,530,152,892,625,158
"Lithuania","Industry and construction","Craft and related trades workers","60 years or over","Males",579,285,177,840,454,172,NA,NA,NA,942,591,177
"Luxembourg","Industry and construction","Craft and related trades workers","60 years or over","Males",2234,2286,180,1914,2148,154,2201,2662,150,2296,2765,161
"Macedonia","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1142,442,173,872,406,181
"Malta","Industry and construction","Craft and related trades workers","60 years or over","Males",1181,853,172,525,843,143,1692,1237,182,1534,1241,154
"Montenegro","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1472,816,182
"Netherlands","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1822,1942,136,2415,2690,151,2666,2928,159
"Norway","Industry and construction","Craft and related trades workers","60 years or over","Males",2232,3260,159,2693,3570,161,2836,4188,156,3135,4591,156
"Poland","Industry and construction","Craft and related trades workers","60 years or over","Males",847,501,185,910,529,157,1095,654,162,1458,814,184
"Portugal","Industry and construction","Craft and related trades workers","60 years or over","Males",994,761,170,1036,842,174,1141,946,173,1207,983,174
"Romania","Industry and construction","Craft and related trades workers","60 years or over","Males",469,193,188,632,316,171,774,384,169,913,485,182
"Serbia","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,574,186
"Slovakia","Industry and construction","Craft and related trades workers","60 years or over","Males",707,307,172,692,472,172,1020,683,164,1215,824,174
"Slovenia","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,1523,1137,182,1372,1154,153,1546,1263,179
"Spain","Industry and construction","Craft and related trades workers","60 years or over","Males",1608,1371,171,1648,1488,148,1330,1251,109,1653,1525,127
"Sweden","Industry and construction","Craft and related trades workers","60 years or over","Males",1810,2265,169,2135,2573,169,2337,2890,170,2679,3364,170
"Switzerland","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,2947,4226,162,3732,5556,169
"Turkey","Industry and construction","Craft and related trades workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,994,595,195
"United Kingdom","Industry and construction","Craft and related trades workers","60 years or over","Males",2360,2710,179,2657,2999,180,2500,2642,176,2350,2855,174
