"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Non manual workers","60 years or over","Males",4377,4367,141,3701,3892,126,4014,4430,127,4508,4770,135
"Belgium","Industry and construction","Non manual workers","60 years or over","Males",4127,4132,169,4135,4482,159,4749,5272,155,5145,5592,165
"Bulgaria","Industry and construction","Non manual workers","60 years or over","Males",528,214,179,752,287,172,818,363,158,1138,545,176
"Croatia","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,2350,1655,169,NA,NA,NA
"Cyprus","Industry and construction","Non manual workers","60 years or over","Males",2689,2464,167,2132,3227,166,3386,3008,168,3138,2827,167
"Czech Rep.","Industry and construction","Non manual workers","60 years or over","Males",1366,706,160,1796,1092,166,1864,1349,166,2144,1366,166
"Denmark","Industry and construction","Non manual workers","60 years or over","Males",3122,4021,145,3688,5058,155,4292,5861,151,4475,6226,153
"Estonia","Industry and construction","Non manual workers","60 years or over","Males",982,514,174,1258,804,168,1463,1006,160,1676,1267,176
"Finland","Industry and construction","Non manual workers","60 years or over","Males",2368,2809,151,3237,3775,152,3500,4181,156,3673,4493,159
"France","Industry and construction","Non manual workers","60 years or over","Males",4964,4981,138,6991,7748,173,4431,4980,157,4602,4956,155
"Germany","Industry and construction","Non manual workers","60 years or over","Males",3812,3944,146,3961,4073,127,3851,4023,128,4259,4323,140
"Greece","Industry and construction","Non manual workers","60 years or over","Males",4307,3595,180,4564,3918,179,3494,3216,171,4383,3744,171
"Hungary","Industry and construction","Non manual workers","60 years or over","Males",1697,909,176,1631,973,169,1972,1178,151,2251,1295,162
"Iceland","Industry and construction","Non manual workers","60 years or over","Males",2787,3649,177,3160,4737,176,2643,2823,167,3572,4215,174
"Ireland","Industry and construction","Non manual workers","60 years or over","Males",3087,3639,154,3857,4663,169,4020,4445,159,4123,5042,166
"Italy","Industry and construction","Non manual workers","60 years or over","Males",3727,3501,168,3921,4012,173,4052,4147,167,4194,4317,179
"Latvia","Industry and construction","Non manual workers","60 years or over","Males",800,404,171,946,544,163,831,755,151,1211,849,158
"Lithuania","Industry and construction","Non manual workers","60 years or over","Males",1050,517,172,1249,675,161,1173,693,145,1812,1136,172
"Luxembourg","Industry and construction","Non manual workers","60 years or over","Males",5271,5394,164,5657,6350,147,NA,NA,NA,3987,4802,160
"Macedonia","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1853,718,169,1804,839,183
"Malta","Industry and construction","Non manual workers","60 years or over","Males",1483,1071,136,990,1590,145,2363,1728,173,2328,1883,157
"Montenegro","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1809,1003,179
"Netherlands","Industry and construction","Non manual workers","60 years or over","Males",3145,3208,142,3145,3352,142,3388,3774,149,3933,4319,158
"Norway","Industry and construction","Non manual workers","60 years or over","Males",3178,4642,156,3989,5289,157,4128,6097,154,4826,7069,154
"Poland","Industry and construction","Non manual workers","60 years or over","Males",2050,1212,184,2151,1250,157,2304,1377,159,2672,1492,179
"Portugal","Industry and construction","Non manual workers","60 years or over","Males",1800,1378,164,2337,1899,167,2825,2342,169,2687,2189,167
"Romania","Industry and construction","Non manual workers","60 years or over","Males",1004,413,187,1093,546,164,1649,817,155,1632,867,178
"Serbia","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1740,878,185
"Slovakia","Industry and construction","Non manual workers","60 years or over","Males",1378,599,173,1246,849,162,1597,1069,153,2061,1398,169
"Slovenia","Industry and construction","Non manual workers","60 years or over","Males",2739,1881,175,3314,2474,176,3434,2889,167,3554,2902,178
"Spain","Industry and construction","Non manual workers","60 years or over","Males",3479,2965,171,3267,2951,144,2422,2279,117,2794,2579,135
"Sweden","Industry and construction","Non manual workers","60 years or over","Males",2599,3252,166,3154,3801,168,3319,4105,169,3749,4708,170
"Switzerland","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,4249,6093,166,5365,7987,167
"Turkey","Industry and construction","Non manual workers","60 years or over","Males",NA,NA,NA,2449,1409,191,NA,NA,NA,3077,1840,187
"United Kingdom","Industry and construction","Non manual workers","60 years or over","Males",3566,4095,159,4040,4559,162,3556,3758,164,3391,4120,163
