"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1555,1552,130,1753,1843,137,1991,2198,144,2151,2276,131
"Belgium",NA,NA,NA,2074,2248,147,2539,2818,150,2859,3108,158
"Bulgaria",351,142,177,504,192,172,640,284,161,758,363,182
"Croatia",NA,NA,NA,NA,NA,NA,1296,913,167,NA,NA,NA
"Cyprus",1574,1442,183,1178,1783,182,2197,1951,166,1958,1764,173
"Czech Rep.",666,344,160,987,600,173,1117,808,173,1279,815,172
"Denmark",2170,2795,136,2343,3214,135,2599,3550,127,2652,3691,131
"Estonia",625,327,183,844,539,177,998,686,166,1253,948,184
"Finland",1917,2273,165,2162,2522,163,2452,2929,163,2555,3125,161
"France",1771,1777,131,2667,2955,151,2020,2270,147,2219,2389,146
"Germany",2108,2182,146,1856,1908,114,2005,2095,125,2417,2453,142
"Greece",1541,1286,175,1355,1163,NA,2043,1880,171,2105,1798,176
"Hungary",665,356,175,833,498,170,940,562,155,1123,646,170
"Iceland",1971,2580,197,2042,3062,197,1741,1859,183,2324,2743,193
"Ireland",2016,2377,178,2452,2963,182,2859,3161,171,2878,3519,164
"Italy",1608,1510,NA,1816,1858,168,1876,1920,164,2118,2180,180
"Latvia",530,267,180,638,366,172,565,513,162,953,668,169
"Lithuania",559,275,178,888,480,175,NA,NA,NA,1093,686,184
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1075,416,174,926,431,182
"Malta",NA,NA,NA,563,905,174,NA,NA,NA,1262,1020,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1674,929,187
"Netherlands",2007,2047,152,1891,2015,155,1957,2181,139,2248,2468,146
"Norway",2143,3130,158,2601,3448,158,2677,3954,157,3118,4567,154
"Poland",813,481,183,897,521,162,1211,724,166,1428,798,184
"Portugal",947,725,173,1196,971,175,1201,996,176,1093,890,174
"Romania",621,255,181,589,294,179,926,459,173,936,497,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1196,604,187
"Slovakia",701,305,168,666,454,168,1005,672,165,1237,839,174
"Slovenia",1281,880,189,1292,964,179,1338,1126,154,1595,1302,178
"Spain",1705,1453,169,1469,1327,129,1023,963,83,1367,1262,105
"Sweden",1670,2090,164,1992,2400,165,2244,2776,165,2643,3318,167
"Switzerland",NA,NA,NA,NA,NA,NA,3167,4541,171,3508,5222,167
"Turkey",NA,NA,NA,762,439,202,NA,NA,NA,909,543,195
"United Kingdom",2062,2368,184,2371,2675,186,2081,2199,183,2285,2776,175
