"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1507,1504,122,2055,2160,115,2400,2648,128,2247,2377,96
"Belgium",2774,2778,158,2493,2702,133,NA,NA,NA,2507,2725,154
"Bulgaria",197,80,176,331,126,174,371,165,156,476,228,179
"Croatia",NA,NA,NA,NA,NA,NA,1636,1153,172,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1752,1556,185,NA,NA,NA
"Czech Rep.",531,274,170,686,417,163,845,612,167,915,583,169
"Denmark",2024,2607,134,1974,2708,124,2718,3712,124,2845,3959,137
"Estonia",NA,NA,NA,NA,NA,NA,489,336,144,666,504,170
"Finland",NA,NA,NA,2020,2356,158,2185,2610,156,2474,3026,160
"France",NA,NA,NA,NA,NA,NA,3520,3956,137,NA,NA,NA
"Germany",2190,2266,109,2439,2508,101,1762,1841,92,1679,1704,95
"Greece",NA,NA,NA,NA,NA,NA,1918,1766,179,NA,NA,NA
"Hungary",752,403,165,569,340,168,925,552,144,984,566,160
"Iceland",NA,NA,NA,2360,3539,190,2194,2343,171,2590,3057,177
"Ireland",NA,NA,NA,NA,NA,NA,3111,3440,169,NA,NA,NA
"Italy",1523,1431,170,3109,3180,178,1988,2034,148,2402,2472,181
"Latvia",306,155,168,374,215,169,405,368,152,710,498,163
"Lithuania",507,250,174,429,232,167,NA,NA,NA,843,529,162
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1119,433,169,894,416,183
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,2081,2218,143,1961,2185,124,2382,2616,140
"Norway",2189,3197,144,2649,3512,148,2381,3517,135,2745,4020,140
"Poland",610,361,184,590,343,151,766,458,158,1015,567,178
"Portugal",NA,NA,NA,NA,NA,NA,1387,1150,172,1234,1005,172
"Romania",NA,NA,NA,419,209,178,530,263,163,624,332,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,945,477,184
"Slovakia",586,255,178,383,261,151,694,465,162,1004,681,170
"Slovenia",NA,NA,NA,NA,NA,NA,1225,1031,154,1598,1305,179
"Spain",1855,1581,178,1651,1491,128,1069,1006,114,2227,2056,161
"Sweden",1812,2268,163,2465,2970,170,2395,2962,160,2874,3609,175
"Switzerland",NA,NA,NA,NA,NA,NA,3120,4474,164,4309,6414,161
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,751,449,196
"United Kingdom",NA,NA,NA,NA,NA,NA,2413,2550,175,2149,2611,164
