"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3107,3101,139,2534,2664,128,2719,3001,130,3131,3313,135
"Belgium",3246,3250,160,3251,3524,153,3681,4086,151,3950,4294,163
"Bulgaria",375,152,178,527,201,171,697,309,159,851,407,178
"Croatia",NA,NA,NA,NA,NA,NA,1777,1252,170,NA,NA,NA
"Cyprus",1824,1671,171,1407,2129,171,2497,2218,170,2456,2212,168
"Czech Rep.",988,511,162,1287,783,170,1366,988,170,1562,995,170
"Denmark",2353,3030,129,2690,3690,138,3110,4247,132,3244,4514,135
"Estonia",686,359,179,902,576,172,1117,768,164,1344,1016,179
"Finland",2010,2383,157,2590,3021,157,2789,3332,159,2970,3633,160
"France",3202,3213,136,4708,5217,161,3456,3883,151,3470,3737,151
"Germany",2791,2887,138,2721,2798,121,2732,2854,125,3161,3207,138
"Greece",2862,2389,178,2692,2311,183,2528,2327,170,2860,2443,169
"Hungary",1091,585,173,1116,666,165,1332,796,150,1367,787,163
"Iceland",2024,2650,185,2253,3378,189,2155,2302,176,2716,3206,184
"Ireland",2465,2906,164,3210,3880,179,3283,3630,166,3313,4050,165
"Italy",2491,2340,174,2502,2560,162,2651,2713,164,3145,3237,177
"Latvia",613,309,176,736,423,168,652,592,154,975,684,159
"Lithuania",688,339,175,937,506,169,950,562,155,1254,787,176
"Luxembourg",3891,3982,175,3501,3930,154,3248,3929,143,2996,3608,159
"Macedonia",NA,NA,NA,NA,NA,NA,1437,556,171,1298,604,182
"Malta",1168,843,146,691,1110,158,1907,1394,176,1854,1500,158
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1669,926,181
"Netherlands",2220,2264,132,2303,2454,140,2763,3078,148,3151,3460,156
"Norway",2550,3725,156,3204,4247,158,3421,5053,155,3970,5814,154
"Poland",1382,817,183,1555,904,157,1705,1019,161,1937,1081,181
"Portugal",1167,894,169,1390,1130,172,1759,1458,172,1714,1396,171
"Romania",716,295,187,812,405,169,1183,586,161,1172,623,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1356,684,186
"Slovakia",932,405,173,868,592,167,1205,806,160,1501,1018,172
"Slovenia",1704,1171,172,2610,1948,178,2479,2085,162,2657,2170,178
"Spain",2109,1798,171,1993,1800,142,1669,1570,107,1958,1808,124
"Sweden",2034,2546,165,2473,2980,167,2696,3335,169,3083,3871,167
"Switzerland",NA,NA,NA,NA,NA,NA,3543,5081,167,4483,6675,168
"Turkey",NA,NA,NA,1633,939,194,1914,1182,194,1876,1122,192
"United Kingdom",2607,2994,171,3048,3440,173,2850,3012,171,2788,3388,169
