"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,5937,6242,151,7118,7855,147,8125,8598,161
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,5674,6151,155,6635,7366,154,7717,8388,162
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",780,316,182,1140,435,173,1678,745,162,1911,915,177
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,3472,2446,165,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,3208,4856,168,6524,5795,167,6798,6123,163
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",2002,1035,164,2690,1636,169,2741,1984,167,3070,1956,165
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,4492,6162,159,5371,7335,158,5716,7953,158
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,1643,1050,172,2129,1463,161,2310,1747,175
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,5146,6002,156,5398,6448,157,5610,6861,157
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,8210,9098,167,6405,7198,159,6337,6824,157
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,6226,6401,148,5474,5718,139,6953,7056,155
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,5383,4620,178,6075,5591,173,5350,4570,179
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",2190,1173,181,2294,1369,175,2848,1701,158,3026,1741,165
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,4065,6096,179,3490,3727,176,4247,5012,177
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",3774,4450,156,4156,5024,160,5179,5727,158,4266,5216,149
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,7049,7212,153,6873,7033,159,7584,7806,176
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,1326,762,168,1163,1057,149,1676,1175,154
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",1274,627,179,1616,873,167,1801,1065,158,2233,1401,173
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,9257,10392,161,9396,11366,162,7530,9069,161
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,2654,1028,166,2279,1060,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,1529,2457,157,3529,2580,151,2834,2292,138
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2041,1132,178
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",3413,3481,156,3974,4235,142,4721,5259,147,5006,5497,152
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,4490,5953,156,4762,7033,156,5450,7983,156
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",2972,1757,184,3264,1897,167,3431,2050,161,3991,2229,179
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,4620,3754,162,4742,3931,161,4952,4034,166
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",1551,638,185,2275,1136,175,2631,1304,168,2430,1291,183
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2101,1060,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",1682,731,176,2022,1378,167,2585,1730,154,2917,1978,165
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",4109,2822,159,4879,3642,174,5272,4435,166,5284,4315,176
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",4497,3832,175,6045,5459,168,4566,4296,137,4866,4492,152
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",3597,4502,167,4067,4901,167,4256,5265,168,5087,6387,170
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,7142,10242,168,7379,10985,166
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",NA,NA,NA,3574,2055,192,4136,2556,186,5263,3148,187
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Males",4073,4677,162,4610,5203,159,4314,4559,157,4364,5302,155
