"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,315,120,165,477,211,149,625,299,164
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1772,1574,171,NA,NA,NA
"Czech Rep.",530,274,155,679,413,154,1016,735,174,1005,640,169
"Denmark",NA,NA,NA,2004,2749,130,2133,2914,117,2115,2943,120
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1561,1820,150,1740,2079,153,1673,2046,151
"France",NA,NA,NA,NA,NA,NA,779,875,84,1747,1882,124
"Germany",NA,NA,NA,825,848,64,1011,1057,82,1538,1561,105
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",511,274,154,801,478,157,669,399,141,1096,631,158
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,2105,2544,182,2084,2304,144,2593,3171,130
"Italy",NA,NA,NA,NA,NA,NA,1286,1316,156,NA,NA,NA
"Latvia",NA,NA,NA,448,257,172,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1509,1539,147,1356,1445,138,1662,1852,134,1830,2009,132
"Norway",NA,NA,NA,1862,2469,138,2274,3358,147,2698,3952,148
"Poland",NA,NA,NA,NA,NA,NA,877,524,163,1080,603,178
"Portugal",NA,NA,NA,666,541,166,882,731,167,1091,889,172
"Romania",NA,NA,NA,NA,NA,NA,403,200,168,504,268,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,475,324,158,819,548,156,796,540,158
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",1280,1091,181,1412,1276,141,1051,989,133,1270,1172,141
"Sweden",1447,1810,153,1647,1984,162,1805,2233,164,1890,2374,145
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,3627,5399,151
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",1397,1605,141,1508,1702,138,1351,1428,133,1286,1563,135
