"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2504,2633,122,2648,2923,123,2969,3141,126
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2873,3115,139,3262,3622,139,3762,4089,150
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",383,155,170,512,195,163,663,294,155,794,380,175
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,NA,NA,NA,1969,1387,167,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,1545,2338,169,2703,2401,171,2771,2495,169
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",946,489,159,1287,783,165,1379,998,166,1552,989,166
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2763,3789,138,3219,4396,135,3290,4577,134
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,839,536,164,1064,731,155,1278,966,170
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2566,2993,150,2855,3410,153,3023,3698,155
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,4008,4442,145,3094,3477,135,3448,3714,141
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2680,2755,117,2581,2696,120,2719,2760,123
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2857,2453,170,2998,2759,159,2889,2468,164
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",1076,577,173,1230,734,163,1477,882,149,1478,851,161
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2435,3652,182,2180,2328,173,2667,3147,170
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2457,2897,138,3052,3690,157,3318,3669,155,2974,3637,144
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,2960,3028,147,3253,3329,153,3285,3381,160
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,690,396,164,673,611,150,928,651,151
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",630,310,162,852,460,158,964,570,151,1067,670,163
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,4491,5042,150,4197,5077,146,3850,4637,155
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,NA,NA,NA,1544,598,169,1280,596,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,769,1236,143,1762,1288,144,1760,1424,143
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1671,927,178
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2831,2887,130,2183,2326,123,2561,2853,130,2817,3093,133
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,3170,4202,151,3297,4869,146,3677,5386,145
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",1390,822,176,1500,872,149,1638,979,155,1927,1076,175
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,1849,1503,167,2045,1695,165,2073,1689,166
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",854,351,186,1015,507,170,1198,594,162,1174,624,178
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1384,698,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",879,382,168,792,540,160,1150,770,154,1422,964,164
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2996,2058,167,3233,2414,177,2990,2515,165,2947,2406,177
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2218,1891,170,2129,1923,143,1889,1777,115,2163,1996,131
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2086,2611,164,2490,3000,162,2685,3322,163,3042,3820,162
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,NA,NA,NA,3559,5104,153,4374,6511,153
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",NA,NA,NA,1973,1135,191,2239,1383,182,1993,1192,182
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Total","60 years or over","Males",2218,2547,155,2580,2912,151,2478,2619,147,2476,3008,147
