"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1193,1190,102,1679,1765,141,1578,1741,128,2147,2272,152
"Belgium",NA,NA,NA,1566,1698,128,1788,1985,118,2553,2775,148
"Bulgaria",366,148,174,447,170,167,675,300,160,683,327,165
"Croatia",NA,NA,NA,NA,NA,NA,1693,1192,169,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,170,1903,1714,174
"Czech Rep.",748,387,164,1110,675,170,1192,862,171,1315,837,171
"Denmark",2211,2847,139,2392,3281,141,NA,NA,NA,2605,3625,129
"Estonia",525,275,173,690,441,164,908,624,150,1172,886,172
"Finland",1672,1984,163,1806,2106,153,2118,2531,157,2246,2747,158
"France",1795,1801,138,NA,NA,NA,1847,2076,146,2289,2465,145
"Germany",1822,1885,121,1781,1831,117,1740,1818,121,2199,2231,139
"Greece",1415,1181,167,2037,1748,189,NA,NA,NA,NA,NA,NA
"Hungary",649,348,159,764,456,160,853,509,142,1009,580,161
"Iceland",NA,NA,NA,NA,NA,186,NA,NA,189,2530,2987,177
"Ireland",NA,NA,NA,NA,NA,182,2632,2910,160,2275,2782,145
"Italy",1595,1498,175,1953,1999,171,1519,1554,146,1460,1503,154
"Latvia",507,256,174,616,354,167,658,598,156,878,616,156
"Lithuania",463,228,156,651,352,159,NA,NA,NA,1042,654,173
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,2052,2471,152
"Macedonia",NA,NA,NA,NA,NA,NA,1478,572,167,818,381,184
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1581,1279,161
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1787,1822,140,1499,1598,119,1829,2037,123,2068,2271,137
"Norway",2152,3143,156,2481,3290,153,2719,4015,153,2858,4186,148
"Poland",861,509,182,892,519,154,1173,701,161,1469,820,179
"Portugal",1021,782,173,1053,856,173,1321,1095,171,1175,957,166
"Romania",356,146,181,472,236,173,723,358,163,735,390,176
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1508,761,185
"Slovakia",792,344,169,574,391,163,867,580,160,1110,752,165
"Slovenia",NA,NA,NA,1556,1161,NA,1655,1393,169,1560,1274,176
"Spain",1788,1524,181,1694,1530,149,1396,1314,109,1735,1602,123
"Sweden",1623,2031,167,1920,2314,164,2259,2794,168,2533,3181,171
"Switzerland",NA,NA,NA,NA,NA,NA,3040,4359,165,3523,5244,163
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,659,198
"United Kingdom",1896,2177,165,2413,2723,174,2222,2348,165,2329,2830,166
