"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Managers","60 years or over","Males",5872,5860,155,5425,5704,148,7878,8694,148,8625,9126,160
"Belgium","Services of the business economy","Managers","60 years or over","Males",5235,5242,165,5952,6452,157,6547,7268,150,8329,9053,167
"Bulgaria","Services of the business economy","Managers","60 years or over","Males",849,344,183,1282,489,169,1732,768,161,2016,965,174
"Croatia","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,3547,2498,164,NA,NA,NA
"Cyprus","Services of the business economy","Managers","60 years or over","Males",3745,3432,167,3557,5384,170,6825,6062,167,7696,6932,169
"Czech Rep.","Services of the business economy","Managers","60 years or over","Males",1919,992,168,2690,1636,169,2819,2040,163,3195,2035,165
"Denmark","Services of the business economy","Managers","60 years or over","Males",3900,5023,157,4767,6538,160,5583,7625,158,6080,8460,158
"Estonia","Services of the business economy","Managers","60 years or over","Males",1398,732,175,1840,1175,169,2218,1524,161,2401,1816,172
"Finland","Services of the business economy","Managers","60 years or over","Males",3898,4624,162,4696,5477,155,5743,6862,158,5929,7251,159
"France","Services of the business economy","Managers","60 years or over","Males",6295,6316,146,8045,8916,168,6826,7671,158,6273,6756,159
"Germany","Services of the business economy","Managers","60 years or over","Males",5411,5599,158,6517,6700,149,6716,7015,145,7509,7621,158
"Greece","Services of the business economy","Managers","60 years or over","Males",4348,3629,170,NA,NA,182,7416,6825,156,5105,4361,170
"Hungary","Services of the business economy","Managers","60 years or over","Males",2462,1320,176,2513,1500,171,2781,1661,159,3127,1799,163
"Iceland","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,4275,6410,187,3569,3812,172,4510,5323,172
"Ireland","Services of the business economy","Managers","60 years or over","Males",3591,4234,154,4200,5077,158,5515,6098,163,3983,4870,146
"Italy","Services of the business economy","Managers","60 years or over","Males",6753,6343,165,9111,9322,170,7582,7759,162,7887,8118,175
"Latvia","Services of the business economy","Managers","60 years or over","Males",1329,670,174,1350,776,165,1272,1156,141,1831,1284,147
"Lithuania","Services of the business economy","Managers","60 years or over","Males",1154,568,176,1525,824,158,1941,1148,161,1801,1130,169
"Luxembourg","Services of the business economy","Managers","60 years or over","Males",7208,7376,NA,NA,NA,NA,9812,11869,166,7580,9128,162
"Macedonia","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,2399,929,164,2299,1069,180
"Malta","Services of the business economy","Managers","60 years or over","Males",2772,2002,181,1670,2684,NA,3588,2624,157,2850,2305,133
"Montenegro","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2529,1403,181
"Netherlands","Services of the business economy","Managers","60 years or over","Males",3169,3232,159,3838,4091,140,4998,5568,148,4764,5231,150
"Norway","Services of the business economy","Managers","60 years or over","Males",3809,5564,156,4554,6037,157,4838,7146,156,5472,8014,157
"Poland","Services of the business economy","Managers","60 years or over","Males",2932,1734,185,3346,1945,165,3717,2221,161,4309,2406,178
"Portugal","Services of the business economy","Managers","60 years or over","Males",5802,4442,163,5241,4258,162,4728,3919,160,4974,4051,167
"Romania","Services of the business economy","Managers","60 years or over","Males",1579,650,182,2285,1141,174,2503,1240,164,2346,1247,181
"Serbia","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2219,1119,183
"Slovakia","Services of the business economy","Managers","60 years or over","Males",1478,642,178,2334,1591,167,2865,1917,149,3008,2040,161
"Slovenia","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,6261,4673,167,5258,4423,160,4876,3982,169
"Spain","Services of the business economy","Managers","60 years or over","Males",4274,3642,180,6212,5611,170,5168,4863,144,4638,4282,150
"Sweden","Services of the business economy","Managers","60 years or over","Males",3776,4726,168,4405,5308,167,4615,5709,168,5656,7102,172
"Switzerland","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,NA,NA,NA,7778,11155,169,7860,11702,164
"Turkey","Services of the business economy","Managers","60 years or over","Males",NA,NA,NA,3801,2186,192,NA,NA,NA,4328,2588,182
"United Kingdom","Services of the business economy","Managers","60 years or over","Males",4006,4601,162,4678,5280,158,4716,4984,157,4587,5573,153
