"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,480,213,146,NA,NA,NA
"Croatia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,705,429,162,1125,814,178,NA,NA,NA
"Denmark","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",1272,1639,86,1701,2333,111,NA,NA,NA,1774,2468,102
"Estonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1670,1995,158,1844,2255,162
"France","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,2146,119
"Germany","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",1067,1104,79,718,738,54,1034,1080,86,1574,1598,117
"Greece","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",581,311,NA,NA,NA,NA,NA,NA,NA,1346,775,160
"Iceland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,484,278,175,NA,NA,NA,NA,NA,NA
"Lithuania","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,1645,1833,NA,1553,1705,106
"Norway","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,2117,3127,148,2705,3961,145
"Poland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,974,544,175
"Portugal","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,892,172
"Romania","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,552,293,184
"Serbia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,948,892,122,1102,1017,133
"Sweden","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,4175,6216,173
"Turkey","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Services of the business economy","Skilled agricultural, forestry and fishery workers","60 years or over","Males",1461,1677,143,1357,1532,134,1313,1388,129,1289,1565,138
