"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1977,1973,107,2093,2201,117,2499,2758,117,2812,2976,124
"Belgium",2486,2489,143,2727,2956,142,3004,3335,136,3683,4004,148
"Bulgaria",333,135,157,425,162,149,546,242,151,643,308,172
"Croatia",NA,NA,NA,NA,NA,NA,2082,1467,168,NA,NA,NA
"Cyprus",1616,1481,169,1536,2325,171,2653,2357,172,2736,2465,176
"Czech Rep.",920,476,162,1330,808,167,1355,981,164,1522,970,166
"Denmark",2228,2870,124,2759,3784,136,3152,4305,132,3244,4513,130
"Estonia",681,357,171,831,531,165,1057,726,159,1286,973,171
"Finland",2034,2412,152,2465,2875,147,2871,3429,151,2965,3627,154
"France",3467,3479,136,4152,4602,146,3083,3464,136,3563,3837,142
"Germany",2179,2255,115,2293,2358,107,2149,2245,112,2171,2203,111
"Greece",1866,1557,162,2211,1898,175,3039,2797,166,2657,2270,163
"Hungary",1113,597,167,1215,725,160,1444,862,147,1495,860,158
"Iceland",1754,2296,178,2456,3683,184,2286,2442,179,2735,3228,170
"Ireland",2195,2587,155,2594,3135,156,3323,3675,160,2634,3221,146
"Italy",2422,2275,171,3013,3082,162,2915,2983,161,2868,2951,168
"Latvia",592,299,172,661,380,164,726,660,150,977,685,144
"Lithuania",636,313,162,797,431,155,1009,596,156,926,581,162
"Luxembourg",4239,4338,160,4593,5156,151,4294,5195,148,3522,4241,149
"Macedonia",NA,NA,NA,NA,NA,NA,1655,641,168,1169,544,181
"Malta",1568,1132,139,864,1389,138,1807,1321,141,1715,1388,145
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1742,966,176
"Netherlands",3271,3336,135,1982,2112,118,2250,2506,122,2518,2765,125
"Norway",2556,3734,147,3156,4185,149,3318,4901,146,3626,5311,144
"Poland",1281,757,183,1364,793,156,1487,889,158,1833,1024,176
"Portugal",1416,1084,171,2170,1763,169,2154,1786,165,2172,1769,166
"Romania",780,321,182,841,420,164,1163,576,160,1057,562,175
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1447,730,184
"Slovakia",941,409,169,808,551,162,1109,742,154,1365,926,164
"Slovenia",3505,2407,157,3586,2677,175,2769,2330,163,2548,2081,174
"Spain",2287,1949,176,2197,1985,147,1896,1784,120,2085,1924,138
"Sweden",2168,2713,162,2557,3081,163,2722,3367,162,3144,3948,164
"Switzerland",NA,NA,NA,NA,NA,NA,3509,5033,151,4308,6413,149
"Turkey",NA,NA,NA,2223,1278,194,2109,1303,186,1756,1050,174
"United Kingdom",2031,2332,158,2478,2796,156,2378,2513,151,2467,2998,151
