"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2896,2890,177,2962,3115,173,2981,3290,168,3237,3426,170
"Belgium",2899,2903,173,2894,3137,166,3027,3361,159,3274,3559,166
"Bulgaria",506,205,183,803,306,174,1192,529,164,1457,697,181
"Croatia",NA,NA,NA,NA,NA,NA,1852,1305,170,NA,NA,NA
"Cyprus",1896,1737,172,1463,2215,171,2644,2349,171,2151,1937,172
"Czech Rep.",1567,810,170,1934,1176,171,2050,1484,171,2260,1439,171
"Denmark",3188,4106,157,3265,4478,154,3737,5103,154,3739,5202,152
"Estonia",1478,774,183,1871,1195,175,2108,1448,167,2381,1800,182
"Finland",2433,2886,164,2809,3276,162,3046,3639,162,3073,3758,162
"France",2738,2747,150,2728,3023,163,2669,2999,159,2993,3223,162
"Germany",3416,3535,168,3630,3732,166,3573,3732,164,3685,3740,165
"Greece",1638,1367,170,1959,1682,173,1915,1763,169,1720,1470,164
"Hungary",1435,769,185,1639,979,181,1929,1152,166,2395,1378,171
"Iceland",2757,3611,173,3285,4926,176,2874,3070,170,3237,3820,169
"Ireland",3213,3788,159,3466,4190,173,3486,3855,166,3281,4011,150
"Italy",2196,2063,178,2257,2309,170,2311,2365,168,2397,2467,180
"Latvia",928,468,177,1293,743,169,1132,1029,153,1831,1284,166
"Lithuania",1031,507,173,1341,724,168,1453,859,159,1742,1092,174
"Luxembourg",3594,3678,175,3597,4038,173,3612,4370,167,3764,4533,182
"Macedonia",NA,NA,NA,NA,NA,NA,1524,590,168,1362,634,182
"Malta",1987,1435,184,988,1587,173,2542,1859,173,2615,2115,169
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1597,886,179
"Netherlands",2908,2966,162,2851,3039,160,3100,3453,161,3140,3449,164
"Norway",3017,4407,162,3500,4641,161,3724,5500,160,4006,5867,158
"Poland",1512,894,186,1838,1068,174,2081,1244,166,2528,1412,181
"Portugal",1901,1456,168,1906,1549,168,1889,1566,169,1699,1384,168
"Romania",689,283,187,951,475,177,1298,643,167,1434,762,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1436,725,185
"Slovakia",1328,577,174,1388,946,170,1908,1277,164,2105,1427,176
"Slovenia",1977,1358,174,2190,1635,178,2184,1837,168,2346,1916,179
"Spain",2308,1967,181,2285,2063,168,2314,2177,170,2326,2148,168
"Sweden",2563,3207,170,2842,3424,170,3003,3714,170,3277,4115,170
"Switzerland",NA,NA,NA,NA,NA,NA,3798,5447,172,4440,6610,173
"Turkey",NA,NA,NA,1486,855,199,1575,973,199,1679,1004,199
"United Kingdom",4108,4718,166,4270,4819,167,3665,3873,166,3377,4103,166
