"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2211,2206,191,2215,2329,189,2204,2433,181,2423,2564,184
"Belgium",NA,NA,NA,2263,2453,167,2353,2612,160,2447,2660,166
"Bulgaria",392,159,183,498,190,176,675,300,164,739,354,182
"Croatia",NA,NA,NA,NA,NA,NA,1129,795,171,NA,NA,NA
"Cyprus",1445,1324,180,1164,1762,182,1864,1656,182,1639,1476,173
"Czech Rep.",893,462,174,1089,662,175,1127,816,175,1237,788,174
"Denmark",2199,2833,137,2347,3219,138,2735,3735,136,2745,3819,139
"Estonia",764,400,188,1074,686,180,1247,857,172,1489,1126,185
"Finland",1905,2259,170,2236,2608,170,2476,2958,169,2589,3166,168
"France",1695,1701,152,1788,1981,157,1803,2026,156,2040,2197,157
"Germany",2378,2461,172,2458,2527,171,2424,2532,170,2561,2599,167
"Greece",1370,1144,181,1703,1462,181,1807,1664,177,1586,1355,171
"Hungary",807,433,188,903,539,184,1046,625,170,1147,660,177
"Iceland",NA,NA,NA,2268,3401,209,1967,2101,185,2400,2832,195
"Ireland",2043,2408,171,2481,2999,180,2563,2834,170,2435,2977,161
"Italy",1703,1600,180,1854,1896,179,1930,1975,173,1961,2019,183
"Latvia",547,276,179,728,418,174,629,572,158,988,693,160
"Lithuania",596,294,177,759,410,172,NA,NA,NA,1057,663,184
"Luxembourg",2312,2366,186,2370,2661,179,2313,2798,173,2472,2978,184
"Macedonia",NA,NA,NA,NA,NA,NA,878,340,165,778,362,180
"Malta",1645,1188,201,796,1280,197,1846,1350,187,1829,1480,180
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,563,178
"Netherlands",2240,2285,168,2030,2163,166,2302,2564,176,2119,2327,160
"Norway",2311,3376,165,2787,3696,166,2861,4226,163,3159,4627,162
"Poland",911,539,188,1023,595,180,1218,728,174,1488,831,188
"Portugal",972,744,172,1090,886,176,1153,956,177,1146,933,175
"Romania",474,195,190,599,299,180,764,379,171,738,392,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,983,496,185
"Slovakia",787,342,172,763,520,171,1010,676,166,1167,791,174
"Slovenia",1152,792,175,1311,978,179,1400,1178,170,1575,1286,180
"Spain",1598,1362,184,1665,1504,172,1762,1658,170,1918,1770,169
"Sweden",1770,2215,171,2117,2551,172,2289,2831,173,2602,3267,172
"Switzerland",NA,NA,NA,NA,NA,NA,2915,4181,178,3245,4831,178
"Turkey",NA,NA,NA,879,505,205,NA,NA,NA,1033,618,204
"United Kingdom",2369,2720,193,2513,2836,193,2148,2270,189,2145,2606,192
