"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3071,3064,180,3127,3288,175,3050,3367,170,3351,3546,175
"Belgium",2731,2734,176,2765,2997,168,2840,3153,161,2892,3143,170
"Bulgaria",583,236,184,861,328,175,1192,529,166,1332,638,183
"Croatia",NA,NA,NA,NA,NA,NA,1705,1201,171,NA,NA,NA
"Cyprus",1970,1805,170,1413,2139,169,2795,2483,171,1967,1772,170
"Czech Rep.",1266,654,171,1715,1043,171,1825,1321,172,2034,1296,172
"Denmark",3204,4126,159,3326,4562,158,3713,5071,158,3814,5308,158
"Estonia",1358,712,183,1742,1113,176,1750,1203,168,2226,1683,182
"Finland",2315,2745,166,2636,3074,164,2864,3422,164,3014,3686,165
"France",2170,2178,151,2333,2586,156,2299,2583,155,2626,2828,155
"Germany",3353,3469,168,3567,3667,168,3866,4038,169,3812,3869,169
"Greece",1728,1442,171,1980,1700,174,2005,1845,172,1935,1653,170
"Hungary",1307,700,184,1456,869,182,1659,991,167,1892,1089,172
"Iceland",2868,3756,NA,3524,5284,169,2884,3080,167,3319,3917,171
"Ireland",3123,3682,162,3287,3974,177,3352,3706,167,3142,3842,149
"Italy",2503,2352,178,2327,2381,166,2492,2550,170,2586,2662,185
"Latvia",845,426,178,1123,645,167,1038,943,157,1618,1135,168
"Lithuania",764,376,165,999,540,163,1146,678,155,1346,844,175
"Luxembourg",3700,3787,175,3620,4064,174,3373,4081,169,3453,4159,183
"Macedonia",NA,NA,NA,NA,NA,NA,1459,565,169,1242,578,182
"Malta",2372,1713,209,935,1503,179,2498,1827,186,2495,2018,181
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1705,946,178
"Netherlands",2846,2902,163,2815,3001,161,3060,3409,164,3187,3500,167
"Norway",3047,4451,165,3657,4849,165,3965,5856,164,4280,6269,163
"Poland",1393,824,187,1581,919,175,1754,1048,168,2165,1209,183
"Portugal",1887,1445,169,1994,1620,170,1898,1573,171,1841,1500,171
"Romania",680,280,186,821,410,177,1130,560,168,1171,622,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1488,751,185
"Slovakia",1237,538,174,1215,828,170,1738,1163,164,1882,1276,176
"Slovenia",1926,1323,178,2040,1523,178,2095,1762,168,2340,1911,181
"Spain",2372,2022,181,2295,2073,169,2315,2178,171,2431,2244,171
"Sweden",2425,3034,171,2783,3354,171,3004,3716,173,3262,4096,173
"Switzerland",NA,NA,NA,NA,NA,NA,3936,5645,175,4308,6414,176
"Turkey",NA,NA,NA,1437,826,200,1634,1010,201,1655,990,202
"United Kingdom",3703,4252,167,3820,4311,170,3269,3454,170,2846,3458,171
