"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Total","From 30 to 39 years","Males",2456,2450,181,2517,2647,176,2536,2799,170,2818,2981,173
"Belgium","Business economy","Total","From 30 to 39 years","Males",2499,2503,175,2501,2711,165,2654,2946,159,2905,3157,165
"Bulgaria","Business economy","Total","From 30 to 39 years","Males",407,165,183,573,218,174,880,390,163,1083,518,181
"Croatia","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1456,1025,170,NA,NA,NA
"Cyprus","Business economy","Total","From 30 to 39 years","Males",1686,1545,173,1289,1951,173,2271,2017,175,1880,1693,172
"Czech Rep.","Business economy","Total","From 30 to 39 years","Males",1139,589,172,1456,885,173,1570,1136,173,1759,1121,173
"Denmark","Business economy","Total","From 30 to 39 years","Males",2633,3391,144,2777,3809,144,3273,4471,145,3281,4565,143
"Estonia","Business economy","Total","From 30 to 39 years","Males",1051,551,184,1435,917,177,1684,1157,168,1954,1477,183
"Finland","Business economy","Total","From 30 to 39 years","Males",2137,2534,167,2511,2928,165,2781,3323,164,2846,3481,164
"France","Business economy","Total","From 30 to 39 years","Males",2205,2212,150,2252,2496,159,2330,2619,156,2609,2810,159
"Germany","Business economy","Total","From 30 to 39 years","Males",2809,2906,168,2976,3059,167,2959,3091,164,3169,3216,163
"Greece","Business economy","Total","From 30 to 39 years","Males",1472,1229,173,1764,1514,175,1792,1650,170,1605,1371,166
"Hungary","Business economy","Total","From 30 to 39 years","Males",991,531,186,1196,714,182,1459,871,167,1619,931,172
"Iceland","Business economy","Total","From 30 to 39 years","Males",2378,3114,189,2663,3993,188,2460,2628,178,2749,3245,182
"Ireland","Business economy","Total","From 30 to 39 years","Males",2731,3220,163,3110,3760,175,3192,3529,166,2942,3597,152
"Italy","Business economy","Total","From 30 to 39 years","Males",1956,1837,180,1977,2023,173,2061,2109,168,2174,2238,180
"Latvia","Business economy","Total","From 30 to 39 years","Males",692,349,177,985,566,171,856,778,154,1382,969,163
"Lithuania","Business economy","Total","From 30 to 39 years","Males",750,369,175,1022,552,171,1118,661,159,1355,850,176
"Luxembourg","Business economy","Total","From 30 to 39 years","Males",2943,3012,178,2955,3317,173,2966,3587,168,3200,3853,183
"Macedonia","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1255,486,167,1117,520,182
"Malta","Business economy","Total","From 30 to 39 years","Males",1767,1276,187,873,1403,179,2301,1682,178,2283,1847,171
"Montenegro","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1391,771,179
"Netherlands","Business economy","Total","From 30 to 39 years","Males",2589,2641,162,2442,2603,158,2797,3116,163,2839,3117,162
"Norway","Business economy","Total","From 30 to 39 years","Males",2706,3953,163,3157,4186,162,3364,4968,160,3592,5261,158
"Poland","Business economy","Total","From 30 to 39 years","Males",1125,665,188,1369,796,178,1607,961,170,2024,1130,184
"Portugal","Business economy","Total","From 30 to 39 years","Males",1317,1008,170,1401,1138,172,1515,1256,171,1446,1178,170
"Romania","Business economy","Total","From 30 to 39 years","Males",508,209,188,677,338,179,944,468,169,1037,551,183
"Serbia","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1203,607,186
"Slovakia","Business economy","Total","From 30 to 39 years","Males",996,433,173,1001,682,172,1443,966,165,1687,1144,175
"Slovenia","Business economy","Total","From 30 to 39 years","Males",1460,1002,174,1653,1234,179,1752,1474,168,1945,1588,179
"Spain","Business economy","Total","From 30 to 39 years","Males",1865,1590,182,1886,1703,170,2036,1916,170,2090,1929,168
"Sweden","Business economy","Total","From 30 to 39 years","Males",2199,2751,171,2527,3045,171,2723,3368,171,3009,3779,170
"Switzerland","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,3425,4912,173,4011,5971,173
"Turkey","Business economy","Total","From 30 to 39 years","Males",NA,NA,NA,1103,635,201,1236,764,202,1309,783,201
"United Kingdom","Business economy","Total","From 30 to 39 years","Males",3360,3859,176,3606,4069,175,3216,3399,171,2968,3605,171
